rank	username	minecraft:used/minecraft:stone_brick_stairs
100	benediktine1	763
101	ROY4LE	751
102	Kkanot	738
103	Fullut	736
104	SammiWolfGirl	705
105	livingdaydreams	695
106	Enderslayerxz3	683
107	Snowflowe	669
108	_stets	663
109	RodSerlingCringe	662
110	Lord_Zacler	658
111	RoskobiOne	655
111	CalebDHawk	655
113	selectrix	639
114	hcb238	635
115	r123moore	631
116	claivin	625
117	Sral7	616
118	Natty	589
119	Bandito_Roamer	577
120	DemTechAlpha	575
121	Vizzoid	560
122	MovingFish7	550
123	ProfessorBee	549
123	Winklepicker279	549
125	Ecplosive	548
126	DermeinUser	547
127	YungJakobo	514
128	Warlord324	511
129	CoffeeNoir	505
130	Racengan	501
131	Historical_Sand	497
132	Steelynan	496
133	NieToksikpl	487
134	Notta	485
135	Deathkob	483
136	awesomeoneme	482
137	Megarboh	473
137	DAD_1996	473
139	Mr_Byzantine	470
140	SkateboardR6	467
141	Hiryu27	463
142	slkiey	456
143	Hyp3rion_	455
144	eviltunix	454
145	MSK__	431
146	fr0stss	419
147	h2p_emrld	417
148	_Boipl_	414
148	Jeteight	414
150	set67	412
151	lordpipe	411
151	07shiny	411
153	Healthing	409
154	TheSeismicDuck	405
155	Kubelz	400
156	toj__	396
157	SquadMonster	395
158	layabout100	392
159	Iagoku	389
160	DC_XII	388
161	Zaridey	385
162	Soplight	384
163	The11thDoctor	377
164	SlayerCrypto	374
165	Donutt	370
166	oxfordschool	367
167	Jiminie	366
168	_Nuf	363
169	ExtraDumb	359
169	audiocracked	359
171	Jorrdi	357
172	krutas2000	355
173	tsitrawhy	354
174	Zedducius	353
174	LordSpeed37	353
176	avalan64	349
177	Septemb3r	348
178	TechnoNinja64	341
179	lizardfightclub	340
180	soundad	338
181	Jackattack53	328
181	iHuntWeeaboos	328
183	ssleepless	322
184	KeruNatsema	321
185	sxc_	318
186	Comma__	317
186	dendydoom	317
188	Skomo	315
189	thewindmillman	309
190	Quincannon	302
191	bloodbiter	299
191	DanTheBuilderino	299
193	BoraMC	293
194	Quotary	290
195	Hisiste	289
196	Myszoaz	288
197	Ristebraaten	280
198	theonlymagikarp	278
198	thgrocks	278
198	KliBeast21	278
201	Chromary	277
202	paranoid_plant	274
203	NoChumpChange	271
204	cowgirlkasia	266
205	Tommhh	259
206	dudcreeper	257
207	zorin123	254
208	NotKaden_	252
209	NameGenerat0r	251
210	Factoroni	247
211	Soap_Bender	244
212	MrExplorer	243
213	FirsTimeGamingTV	242
214	Toiton	241
214	Slapface522	241
216	FennYuzuna	240
216	cringenaynaybaby	240
218	sammidk	234
219	Nicserso	233
220	censorsheep	232
220	laron58	232
222	mwrty	231
223	TableTim	229
224	TheThomas69	224
225	The_slideV3	222
226	Bobby808	219
227	Ghemmah	218
227	Soffbord	218
229	lOlmantschi	217
229	KartivGal	217
231	Chaotic1s	216
232	JohnPrice	215
233	ergoalias	211
233	Nicky_H225	211
233	MonitorLizards	211
236	MeetTheWollo	210
237	CaptainDeadBread	209
238	ABUSNA1996	206
239	xX_Stalin69_Xx	205
240	lewieinnit	204
241	UCP_TheKingK	203
242	wobn	198
243	drumine	197
244	pappaberg	195
245	PeteO1995	194
246	Mewar	193
246	ogoa	193
248	G1ldor	187
249	BumbleBeever	186
250	kinas45y5	185
251	SoftSix	182
252	stellarjay	179
253	Motsaro	178
253	XboxPanda	178
255	MyNameIsDakar	177
255	SvenskaHugo	177
257	Lez_	175
258	Awyrlas	174
258	Zoeyfortnite	174
260	Wowful	171
261	Kyrum2169	170
262	NormanFetus	169
263	LAVA129	166
263	chipklip	166
265	StylesK	164
265	AuroraSkies	164
265	Nekomin0	164
268	q_wq	163
269	Groundler	161
269	PortlyPete69	161
271	bigstankyy	158
271	Yahir091	158
273	jnp_gaming	154
274	LetsDoItLive	153
275	Calbo_	152
276	Haadrada	151
277	Jaka_Saurus_715	149
278	tobinwilliams	146
279	wiqor	143
280	Jovaphobic	142
280	Ryker	142
280	HesDemonPants	142
283	shdesolt	140
284	NoxxxxiS	139
284	FlashMigma	139
286	Reamdin	136
286	ivorico	136
286	athereall	136
289	Fuad_R	135
289	xorompole	135
291	AlazelTheReal	134
292	ElKaySVK	133
293	Drewen24	132
293	Sky_light_KING	132
295	LotusProject	131
296	fkGrim	129
297	XxCookiequeenxX	128
297	xyfrs	128
299	BronkerBrum	127
300	Syropatathe	126
