rank	username	minecraft:used/minecraft:comparator
132	diamondgolem35	14
132	eviltunix	14
132	RobotMinion101	14
135	Mahoose	13
135	ibarker21	13
135	Blu3beast	13
138	Jovaphobic	12
138	ayqq	12
138	benediktine1	12
138	Maenara	12
142	Ssor69	11
142	emrekn	11
142	andy_rex	11
142	ApophisNova	11
142	seramalen	11
142	Fuhrer_Teemo	11
142	Jij0	11
142	MyNamaSheff	11
150	heckface	10
150	SellyZ	10
150	xxPipperDipperxx	10
150	mariominejedi	10
150	Rasmanden	10
150	Cocoamallows	10
150	stavgod	10
150	Hermanni__	10
158	joethahobo	9
158	H72l9w	9
158	500am	9
158	Scathra	9
158	NotMeanttoChange	9
158	domagawha	9
158	selectrix	9
158	chipklip	9
158	bruh072	9
158	ProbsNotNova	9
168	q_wq	8
168	kekhon	8
168	Zaridey	8
168	Nyxiom_	8
168	KeruNatsema	8
168	DTwenty	8
168	ese_wn_po	8
168	NameGenerat0r	8
168	UltraZombie	8
177	Franco093	7
177	TheSecondLord	7
177	SokaOtaku	7
177	Wowful	7
177	Kyrum2169	7
182	Louiis123	6
182	fr0stss	6
182	Malorn_Aetherius	6
182	Zedducius	6
182	Purplehere	6
182	CrateOfBoxes	6
182	Shiirazuku	6
182	MousePlays	6
182	censorsheep	6
182	Racengan	6
182	Logain42	6
182	BreadBacon	6
182	EcksDofficial	6
195	bigstankyy	5
195	ExtraDumb	5
195	SquadMonster	5
195	gilesmcriles	5
195	Comma__	5
195	Mewar	5
195	pappaberg	5
195	Steven1282598	5
195	geekbird	5
195	__tomato	5
195	jcool7	5
195	xX_Stalin69_Xx	5
207	_NieToksikpl_	4
207	Houstonion	4
207	ivorico	4
207	Cryptacity	4
207	ABUSNA1996	4
207	Kkanot	4
207	mwrty	4
207	XboxPanda	4
207	ooga47	4
207	RodSerlingCringe	4
207	KnightmareD	4
218	Sleek_Storm_721	3
218	livingdaydreams	3
218	MinttyFressh	3
218	Tmb1	3
218	himak1	3
218	LotusProject	3
218	Tjhodskins19	3
218	_8man	3
218	tobinwilliams	3
218	_naturell	3
218	Nicky19	3
218	LexMakesHistory	3
218	JESS_THE_RERE	3
218	DarlaMeow	3
218	Strangemonkey71	3
218	ediballbearings	3
218	SammiWolfGirl	3
218	_TCARREIRA_	3
218	Nicserso	3
237	Tobinator_007	2
237	Kegradigm	2
237	tuckerdoodle	2
237	Jackster03	2
237	FirsTimeGamingTV	2
237	picardred	2
237	Guillemet	2
237	Inchef	2
237	ImDisconnected_	2
237	TheTrueClipse	2
237	Factoroni	2
237	MakeHistory157	2
237	Omar_Alone	2
237	CSG_Haru	2
237	Eraxa	2
237	SSytex_X	2
237	_3Stump_	2
237	Kubeusz2010	2
237	tartanboy	2
237	smogfrog	2
237	Jordan_R	2
258	Ailmast	1
258	teslawolf38	1
258	ColeSnyder	1
258	MSK__	1
258	Vizzoid	1
258	jushykins	1
258	jiggywraps	1
258	_Dean_123	1
258	Masssonnn	1
258	ROY4LE	1
258	CollinMH06	1
258	Drewen24	1
258	DominusBeryl	1
258	FreddyFart	1
258	EveryonesUncle	1
258	rotten_mango	1
258	lillips	1
258	Lutres_Torane	1
258	ElKaySVK	1
258	layabout100	1
258	voiding_	1
258	djancak	1
258	alderban107	1
258	Skippeh	1
258	UrbanPlanner1978	1
258	sea_otter_h	1
258	FishisTTV	1
