rank	username	minecraft:used/minecraft:comparator
131	eviltunix	14
131	RobotMinion101	14
134	Mahoose	13
134	ibarker21	13
134	Lord_Jord	13
134	Blu3beast	13
138	Jovaphobic	12
138	ayqq	12
138	benediktine1	12
138	Maenara	12
142	Ssor69	11
142	emrekn	11
142	andy_rex	11
142	ApophisNova	11
142	seramalen	11
142	Fuhrer_Teemo	11
142	Jij0	11
142	MyNamaSheff	11
150	heckface	10
150	SellyZ	10
150	xxPipperDipperxx	10
150	mariominejedi	10
150	Rasmanden	10
150	Cocoamallows	10
150	stavgod	10
150	Hermanni__	10
158	joethahobo	9
158	H72l9w	9
158	Scathra	9
158	NotMeanttoChange	9
158	domagawha	9
158	selectrix	9
158	chipklip	9
158	bruh072	9
158	ProbsNotNova	9
167	q_wq	8
167	kekhon	8
167	500am	8
167	Zaridey	8
167	Nyxiom_	8
167	KeruNatsema	8
167	DTwenty	8
167	ese_wn_po	8
167	NameGenerat0r	8
167	UltraZombie	8
177	Franco093	7
177	TheSecondLord	7
177	SokaOtaku	7
177	Wowful	7
177	Kyrum2169	7
182	Louiis123	6
182	fr0stss	6
182	Malorn_Aetherius	6
182	Zedducius	6
182	Purplehere	6
182	CrateOfBoxes	6
182	Shiirazuku	6
182	MousePlays	6
182	censorsheep	6
182	Racengan	6
182	Logain42	6
182	BreadBacon	6
182	EcksDofficial	6
195	bigstankyy	5
195	ExtraDumb	5
195	SquadMonster	5
195	gilesmcriles	5
195	Comma__	5
195	Mewar	5
195	pappaberg	5
195	Steven1282598	5
195	geekbird	5
195	__tomato	5
195	jcool7	5
195	xX_Stalin69_Xx	5
207	_NieToksikpl_	4
207	Houstonion	4
207	ivorico	4
207	Cryptacity	4
207	ABUSNA1996	4
207	Kkanot	4
207	mwrty	4
207	XboxPanda	4
207	ooga47	4
207	RodSerlingCringe	4
207	KnightmareD	4
218	Sleek_Storm_721	3
218	livingdaydreams	3
218	MinttyFressh	3
218	Tmb1	3
218	himak1	3
218	LotusProject	3
218	Tjhodskins19	3
218	_8man	3
218	tobinwilliams	3
218	_naturell	3
218	Nicky19	3
218	LexMakesHistory	3
218	JESS_THE_RERE	3
218	DarlaMeow	3
218	Strangemonkey71	3
218	ediballbearings	3
218	SammiWolfGirl	3
218	_TCARREIRA_	3
218	Nicserso	3
237	Tobinator_007	2
237	Kegradigm	2
237	Jackster03	2
237	FirsTimeGamingTV	2
237	picardred	2
237	Guillemet	2
237	Inchef	2
237	ImDisconnected_	2
237	TheTrueClipse	2
237	Factoroni	2
237	MakeHistory157	2
237	Omar_Alone	2
237	CSG_Haru	2
237	Eraxa	2
237	SSytex_X	2
237	_3Stump_	2
237	Kubeusz2010	2
237	tartanboy	2
237	smogfrog	2
237	Jordan_R	2
257	Ailmast	1
257	teslawolf38	1
257	ColeSnyder	1
257	Vizzoid	1
257	jushykins	1
257	jiggywraps	1
257	_Dean_123	1
257	ROY4LE	1
257	CollinMH06	1
257	Drewen24	1
257	DominusBeryl	1
257	FreddyFart	1
257	EveryonesUncle	1
257	rotten_mango	1
257	lillips	1
257	ElKaySVK	1
257	layabout100	1
257	voiding_	1
257	djancak	1
257	alderban107	1
257	Skippeh	1
257	UrbanPlanner1978	1
257	sea_otter_h	1
257	FishisTTV	1
