rank	username	minecraft:used/minecraft:ladder
222	TheTrueClipse	85
224	Nesquiczek	84
225	Flopperdonkey	83
225	groofles	83
225	BigCronkin	83
228	RebelAndroid	82
228	DermeinUser	82
228	LordAurum	82
228	Miko_Fullbuster	82
232	Franco093	81
232	CoffeeNoir	81
232	Fildyr	81
235	TheBiggestFeller	80
235	soundad	80
235	AnnieBathory	80
238	Prismyst	79
238	Hisiste	79
238	Zoeyfortnite	79
241	starbits140	77
242	MakeHistory157	76
242	OG_Songsee	76
244	Deathkob	75
244	obzii	75
244	mountaingirl311	75
247	Jiminie	74
247	JayToe	74
249	MAns_44	73
249	zmpeg	73
251	Frozt99	72
251	Hiryu27	72
251	DamagedSin	72
254	Karetoko	70
254	killmeiamtraitor	70
254	thgrocks	70
257	Lotheburgh	69
257	TheThomas69	69
257	gcaisawesome	69
257	MinuteMira	69
257	Deguns123	69
262	Tmb1	68
262	2Stout	68
262	censorsheep	68
262	TheEnderman548	68
262	KingMatthew506	68
267	squigglybones	67
267	slkiey	67
267	Matorz	67
267	TheDumbHuman	67
271	Nicky_H225	66
271	intropass	66
271	carpet4_69	66
271	Luigipunch989	66
275	_Karmaa	65
275	BioKing99	65
277	stickwhiskers	64
277	Kiki_Majiki	64
279	ShedJr_	63
279	Eman__1	63
279	wezzzi	63
279	DTwenty	63
279	chipklip	63
279	VilsSwag	63
279	AssFullaCum	63
279	Yahrto	63
287	Blaiku	62
287	Skippeh	62
289	DiscardedCE	61
289	tortillatitan	61
289	CarltheCuck	61
289	StinkyDiplomat	61
289	SwooshBoi	61
289	kyouma777	61
295	orxngejuice	60
295	UncleDanDan	60
295	ori0le	60
298	Tobinator_007	59
298	zMarciano	59
298	RedcatVII	59
