rank	username	minecraft:used/minecraft:campfire
232	mariominejedi	6
232	dartwaffle	6
232	420BreadLizard	6
232	binman420	6
232	Jiminbub	6
232	KlausVonStiglitz	6
232	MyNameIsDakar	6
232	_Karmaa	6
232	NameGenerat0r	6
232	07shiny	6
232	PlzNoBM	6
244	peach0s	5
244	ratglock	5
244	Ravenbie	5
244	Guillemet	5
244	BlueZabu	5
244	Snowflowe	5
244	drompje	5
244	Shiirazu	5
244	PigDab	5
244	TheTrueClipse	5
244	Fakiuss	5
244	DTwenty	5
244	Xclax101	5
244	OffWithTheirHead	5
244	Spacewardharpy7	5
244	SexcMf	5
244	xzvu	5
244	cichy096	5
244	TechnoNinja64	5
263	elicobnoah	4
263	Harotio	4
263	teslawolf38	4
263	livingdaydreams	4
263	Rox_The_Box	4
263	Prismyst	4
263	SpaceGrenadier	4
263	Malorn_Aetherius	4
263	NieToksikpl	4
263	MinttyFressh	4
263	Mariopreeet	4
263	ReverendSmith	4
263	SlayerCrypto	4
263	yaboo88	4
263	AlexStrange	4
263	RobotMinion101	4
263	F_Uhre	4
263	DC_XII	4
263	Roikdean	4
263	Inbefour	4
263	Cavetorch	4
263	fluddd	4
263	marumochis	4
263	yoyoYoloMonke	4
263	wwwwinnebagoooo	4
263	Lord_Doob	4
263	MakeHistory157	4
263	Shin69	4
263	xX_Stalin69_Xx	4
263	zOnlyKroks	4
263	SirBreadward	4
263	CattSoup	4
263	Nicserso	4
296	heysushii	3
296	123louis456	3
296	Cowison	3
296	Wooptey	3
296	Natty	3
