rank	username	minecraft:used/minecraft:grass_block
221	Badenbeele	685
222	stellarjay	677
223	ayamefag	674
224	Megarboh	662
225	seanitoo	655
226	Comma__	651
227	obzii	639
228	MineMaster0012	635
229	Warlord324	634
230	IWorkAtIkea	628
231	TooManyDuck	621
231	lorpus	621
233	jushykins	617
234	Kkanot	615
235	longappendage	614
236	__Fanda__	589
237	starbits140	587
237	Iamthejo	587
239	q_wq	580
240	RyuNeko932000	545
241	Powowowow	538
242	ssleepless	536
242	TheEnderMan548	536
244	CoffeeNoir	533
245	Blazebit	531
246	KarlKaek	525
247	ElKaySVK	520
248	Njensen7	514
249	RoseLilyTV	512
250	pr33tu	508
250	slkiey	508
252	Myntsys	507
253	RadarHz	502
254	AlexxO_o	500
255	MinttyFressh	492
255	HolyVenom	492
257	drunkeeez	491
258	IAmTheWalrus910	486
259	Billious	484
260	sxc_	479
261	Fullut	466
262	Kura2218	463
263	Masssonnn	461
264	lcvezra	450
265	Eczbox	446
266	Sheldor097	444
267	mwrty	433
268	Zaridey	430
269	fade_emerge78823	427
270	thebaddruid	423
271	Mewar	418
272	_Huge_Male_	417
273	DemTechAlpha	413
274	Hermanni__	403
275	kyouma777	401
276	Trixididntdie	395
277	layabout100	394
278	yheece	387
279	Cryptacity	376
279	SvenskaHugo	376
281	NinjaKnifeKill	374
281	TheThomas69	374
283	LexMakesHistory	371
284	Kekoo	365
285	Maenara	359
286	The_Cruncy	354
287	PhantomsGhost_	352
288	DTwenty	348
289	SUN_DREAM	345
290	Ailmast	341
291	DaviusMaximoose	329
292	Hyugo	328
293	LAVA129	326
294	CliffEmAll	323
295	Darkgon	321
296	ZoomieZoomie	319
297	WET_WET_WET	318
298	_Virify_	317
299	Zoeyfortnite	313
300	crying_wolf_13	311
