rank	username	minecraft:used/minecraft:cobbled_deepslate
273	Vetomo8000	103
276	Eraxa	100
277	Blackberry1310	99
277	Marbz_	99
279	Dan_Scha	98
280	Hail_the_wombat	97
281	its_lupus	96
282	Ev0luti0nz	95
282	Dblikstad	95
282	masskedman	95
282	EcksD	95
286	Werbe	94
287	TheOuterCore	93
288	Cellcorgi649	91
288	LovableFemboy	91
290	Koffeeinz	88
290	HoltGrim	88
290	iSammael	88
293	Base_Tempest	86
293	Dark_Crusader21	86
295	oscminus	85
295	lizardfightclub	85
295	THEKINGLyric10	85
298	SOA1RR	84
299	lunaticusx	81
300	nut_e	80
