rank	username	minecraft:used/minecraft:sugar_cane
130	Blu3beast	216
131	hm947	215
132	Historical_Sand	212
133	Froste131	211
134	Negriuke	209
135	SvenskaHugo	208
136	fluddd	205
137	DrBalloon	204
138	ROY4LE	203
139	PhantomsGhost_	198
140	Windo_licker	196
141	Kyrum2169	195
142	SeverianTheLame	193
142	Hermanni__	193
144	CrookedKaptain	192
144	Wolverine4302	192
146	silverpopcorn	191
147	Jimi7hits	190
148	q_wq	189
148	Auseawesome	189
150	Mr_Byzantine	185
150	Truckoss	185
152	Harotio	181
152	Merv__	181
152	awesomeoneme	181
155	drumine	177
156	T045RTY	176
156	starbits140	176
156	laron58	176
156	EcksDofficial	176
160	obzii	175
161	NameGenerat0r	173
162	thescout7	172
163	RodSerlingCringe	170
164	rarrq	169
165	ImDisconnected_	168
165	NotMeowMix	168
167	MilleGrug	166
168	Ssor69	164
169	ori0le	163
170	Seyaboy	162
170	LilLizardWizard	162
172	Killercatty78	161
173	Frozil12	159
174	Zaridey	158
175	Ryker	157
175	SLASHZEERA	157
175	Racengan	157
178	SuperPooch06	156
179	Lowjinx	155
180	crying_wolf_13	151
181	Atroxes	150
181	Sqwishy	150
183	Huwulling	149
183	h2p_emrld	149
185	DennyKai	148
186	MinttyFressh	146
187	hcb238	145
188	gaziter10	144
189	OfficerAnvil	143
190	Moofyman	142
190	Warlord324	142
192	PegLegPete93	141
192	Powowowow	141
194	sxc_	138
195	jacxhadow	135
195	WyngGoy	135
197	youhjjhhhjj	134
197	301851	134
199	Cowison	133
199	EfficientC52	133
201	Jovaphobic	130
202	6king6colt6	129
202	ayamefag	129
204	Tolhart	128
204	Kynigito	128
204	Dr0xzy	128
207	Mahoose	126
208	EngagedGrub41	124
209	KarlKaek	123
210	Bandito_Roamer	122
210	AlexxO_o	122
210	ComplexSquirrel	122
213	DarkFisto	119
214	toj__	116
214	Silvo614	116
216	Xclax101	113
216	HAruSAme14	113
218	I_Am_Mushkin	112
218	Winklepicker279	112
218	sp00ky_ghost977	112
221	CollinMH06	111
221	561cool	111
223	MightyWertu	110
223	SingedBread	110
223	mawileite	110
223	Oxygen16	110
227	lotarp	109
228	ShedJr_	108
228	Groundler	108
230	Cortexia	107
230	Lutres_Torane	107
230	ZoomieZoomie	107
233	Ozixar	106
233	Megarboh	106
235	CruncyIsTaken	105
235	Fuhrer_Teemo	105
235	stellarjay	105
238	ClemenPine	104
238	ReyTheLegend	104
240	AuroraSkies	103
241	DinoDoctor_	102
242	AngalexikCZ	100
242	Dreamdbr14	100
244	Karbl	99
244	Freedrik	99
246	IWorkAtIkea	98
246	Euclidoris	98
246	nut_e	98
249	set67	97
250	Bobby808	96
251	Razzgriz	95
252	Crowman1	94
252	MrExplorer	94
252	KlausVonStiglitz	94
255	Crowvens	93
255	KingJamBanana1	93
257	Zythose	92
257	Jiminie	92
257	trexgb	92
260	Masssonnn	91
260	Pickel_Lord	91
260	lcvezra	91
260	UltraZombie	91
264	Paint	90
264	Yatitay	90
266	Purplehere	89
266	NYJ	89
266	Fuad_R	89
269	shineh10	88
270	Comma__	87
270	Bazongoman	87
270	Chromary	87
270	XxCookiequeenxX	87
270	fkGrim	87
270	geekbird	87
270	krutas2000	87
277	UncreativeArtist	86
277	_TCARREIRA_	86
279	StinkyDiplomat	85
280	BilboBaggins23	84
280	eviltunix	84
282	MyNameIsDakar	83
282	LordSpeed37	83
284	DepressedCubic	82
284	Eraxa	82
284	ediballbearings	82
287	HoltGrim	81
287	pixelviolin	81
289	Bolete	80
289	ReverendSmith	80
289	Giannism	80
292	baxteerr	79
292	Rainaldus	79
294	bloodbiter	78
294	MonitorLizards	78
294	Nycteus_	78
294	Drawgirll	78
298	censorsheep	77
299	Alteriity	76
299	Matek_	76
