rank	username	minecraft:dropped/minecraft:netherite_pickaxe
161	yulgur1	2
161	NoChumpChange	2
161	Syropatathe	2
161	ThatMan_Dave	2
161	fluddd	2
161	DolphinLaugh	2
161	MakeHistory157	2
161	TheEnderMan548	2
161	KujikawaRisechi	2
161	Soplight	2
161	LeEricc	2
161	Luigipunch989	2
161	PortlyPete69	2
161	deadshot16	2
161	Sheldor097	2
161	Kferno	2
161	Erased_Identity	2
161	Aryamanee	2
161	jnp_gaming	2
161	xolstoi	2
210	xvphmura	1
210	Krasnal1337	1
210	H0UNDFRMH3LL	1
210	MuffinManzz	1
210	chipklip	1
210	ActivelyLogicalt	1
210	CadenSteele	1
210	dimondking777	1
210	q_wq	1
210	6king6colt6	1
210	Creativebuilder2	1
210	Hpdinosaur	1
210	tuckerdoodle	1
210	Natofthese	1
210	Humpcat	1
210	NoHaHeHa	1
210	TAKrules	1
210	stevewithclout	1
210	Swexti	1
210	Pofen	1
210	xPixelRainx	1
210	mattybeewrapss	1
210	12Magner05	1
210	Boboczus	1
210	MinttyFressh	1
210	Megarboh	1
210	SoftSix	1
210	nopekk	1
210	corvidpartyfor6	1
210	SteveCraftBlocks	1
210	CyrusIsTired	1
210	Kkanot	1
210	Kamflame10	1
210	lorpus	1
210	Xalithia	1
210	ROY4LE	1
210	stickymonkeyboy	1
210	Touched_Bread	1
210	benediktine1	1
210	HoltGrim	1
210	hanaryheatwave	1
210	WET_WET_WET	1
210	Snowflowe	1
210	burbankbuilder28	1
210	LAVA129	1
210	EtherealSilveon	1
210	Felenov	1
210	ApophisNova	1
210	TheWildMateo	1
210	Afinnity	1
210	KowcioJr	1
210	LeGold	1
210	PuFY	1
210	Dan_Scha	1
210	Quaintster	1
210	FreakGenius	1
210	Not_Insom	1
210	rezi	1
210	GoofySilly	1
210	ChronoSounds	1
210	THEKINGLyric10	1
210	wwwwinnebagoooo	1
210	LazySupport00	1
210	Yahir091	1
210	Vicemaniac	1
210	Airem_Core	1
210	Dusk_95	1
210	TheTommyGun63	1
210	Godspirit249	1
210	Razzgriz	1
210	Strangemonkey71	1
210	Eraxa	1
210	Mythic1130	1
210	xzvu	1
210	Heisenbberrg	1
210	SkinnyBois	1
210	SpacesickPrism	1
210	BungalowBeet	1
210	Njensen7	1
210	Steelynan	1
210	Kubeusz2010	1
210	Physics_Breaker	1
210	reaperface123	1
210	EcksD	1
210	MyNamaSheff	1
210	Weepingbiel	1
210	Legendosh	1
210	MirielThePastor	1
210	bladeefan2009	1
210	Biites	1
210	Jordan_R	1
