rank	username	minecraft:dropped/minecraft:iron_ore
109	Jackattack53	80
109	EveryonesUncle	80
111	Toriankel	79
111	Kubeusz2010	79
113	Euclidoris	76
113	cichy096	76
115	lcvezra	74
115	trexgb	74
117	m_be9	72
117	hcb238	72
117	Arceus1975	72
120	12Magner05	71
121	Swexti	69
122	CoffeeNoir	67
123	Hashinshin69	66
123	Nagasaki_Riku	66
125	Tobinator_007	64
125	Healthing	64
125	Isaac70096	64
125	Batman922	64
125	Cryptacity	64
125	Kkanot	64
125	Scathra	64
125	Jij0	64
125	starbits140	64
134	jcool7	63
135	DTwenty	62
136	Z3braYTIL	61
136	_TCARREIRA_	61
138	Devintronix	60
138	MightyWertu	60
140	rarrq	59
140	NotKaden_	59
140	Onennon	59
143	Kowcio_	57
144	voiding_	56
145	Rumpletaezer	55
145	victorLIE	55
145	Akoot_	55
145	RedcatVII	55
145	UltraZombie	55
150	Leonidas2k17	54
150	CalebDHawk	54
152	ROY4LE	53
152	MousePlays	53
154	r123moore	52
155	Njensen7	51
156	MrExplorer	50
156	DontHaveKick	50
158	ColeSnyder	48
158	MOSS000	48
158	TheTrueClipse	48
161	laron58	47
161	oxfordschool	47
163	MSK__	46
164	DaviusMaximoose	45
165	BoraMC	44
165	Xalithia	44
165	__TheNorseMan__	44
168	set67	43
168	Motsaro	43
168	SpookyDraggin	43
171	ayqq	42
172	Drlzyy	41
172	Cocoamallows	41
174	LittleIan365	40
174	ApophisNova	40
174	MyNamaSheff	40
177	Iagoku	39
177	ImpavidArcher	39
179	burbankbuilder28	38
179	Jiminbub	38
181	jiggywraps	37
181	Zythose	37
181	Eraxa	37
184	JEWISHBadenBeele	36
184	LordBlaze11	36
186	Ilinca_Io	35
186	emrekn	35
188	RyuNeko932000	34
189	sammidk	33
189	Sky_light_KING	33
191	Lil_Breadboy	32
191	BlossomOwO	32
191	Sqwishy	32
191	EcksDofficial	32
195	6king6colt6	31
195	gaziter10	31
195	Afinnity	31
195	djancak	31
199	Sabby65	30
200	Bumpy419	29
200	501g	29
200	07shiny	29
200	FishisTTV	29
204	bigstankyy	28
204	whoaluv	28
204	Juh1s	28
204	Miko_Fullbuster	28
208	Furiuosbeast0404	27
208	_naturell	27
208	AlphaWolfPlaysMC	27
208	fkGrim	27
208	__Auspicious	27
208	monky_irl	27
208	WinterYoke	27
215	tsohomie	26
215	heckface	26
215	ThePoliteG	26
215	Dali1465	26
215	PlzNoBM	26
220	Merv__	25
220	wezzzi	25
220	Nargotah	25
223	SaucyDark	24
223	UrbanPlanner1978	24
225	ConcretePirate	23
225	Kennyissleepy	23
225	DarlaMeow	23
228	_Razar	22
228	paranoid_plant	22
228	Steven1282598	22
228	KG1999	22
228	_KuruKuru	22
233	Mowelan	21
233	ShedJr_	21
233	cwartzo	21
233	LordSpeed37	21
233	SSytex_X	21
233	Nicserso	21
239	ProbablyNick	20
239	youhjjhhhjj	20
239	Nach0Bear	20
239	kars0n	20
239	Shiirazuku	20
244	RebelAndroid	19
244	yaboo88	19
244	TheShyPig	19
244	Inbefour	19
244	Karbl	19
244	geekbird	19
244	Strangemonkey71	19
251	ragdaddie	18
251	mafiKiwi	18
251	Warlord324	18
251	bitsplease	18
255	dudcreeper	17
255	bAk5tAb	17
255	jushykins	17
255	Kakolbus	17
255	reiwai	17
255	CranialBlowout	17
255	MangoTheFish	17
255	Hiryu27	17
255	englandlondon	17
255	bloomkieren	17
255	Dreamdbr14	17
266	hm947	16
266	GingerNeutron	16
266	_Bguette_	16
266	Erased_Identity	16
266	Legendosh	16
271	fanofbands101	15
271	bloodbiter	15
271	fallingemma	15
271	AJplaysMC_	15
271	PuFY	15
271	ese_wn_po	15
271	proxivitoid	15
271	DeGodz4life	15
271	obzii	15
280	q_wq	14
280	Dedalus36	14
280	SpaceGrenadier	14
280	oreee	14
280	MattieHD	14
280	FreddyFart	14
280	bluefragmentt	14
280	Matorz	14
280	SUN_DREAM	14
289	Jovaphobic	13
289	HollieDaNugget	13
289	ProfessorBee	13
289	zorin123	13
289	NoraTheYandere	13
289	CrateOfBoxes	13
289	DarkS0L	13
289	_k2x	13
289	Hermanni__	13
289	vandmanden	13
299	elicobnoah	12
299	JohnnyFyes	12
