rank	username	minecraft:dropped/minecraft:gray_wool
137	AlphaWolfPlaysMC	1
137	Jiminbub	1
137	SolicitedPuma101	1
137	LexMakesHistory	1
137	Dakar_	1
137	shrimp_flips	1
137	SlinkyPinky	1
137	claivin	1
137	MightyWertu	1
137	RedcatVII	1
137	Racengan	1
137	MovingFish7	1
137	geekbird	1
137	IAmTheWalrus910	1
137	sp00ky_ghost977	1
137	Kura2218	1
137	Strangemonkey71	1
137	StarCookiees_	1
137	OPTOMA_KING	1
137	ayamefag	1
137	Decaying_Lotus	1
137	pixelviolin	1
137	Kyrum2169	1
137	Pumpkin_P_Patch	1
137	Segotep999	1
137	djancak	1
137	starbits140	1
137	SSytex_X	1
137	Ryn777	1
137	_i_ERROR_i_	1
137	CoryJJ	1
137	Moetis	1
137	Njensen7	1
137	Steelynan	1
137	Devouching	1
137	Kubeusz2010	1
137	Erased_Identity	1
137	laron58	1
137	EngagedGrub41	1
137	Skippeh	1
137	amkold	1
137	Quotary	1
137	SpaceTurtleOX	1
137	jnp_gaming	1
137	2blox_	1
137	annebolyn	1
137	Zoeyfortnite	1
137	Yahrto	1
137	CrazyPotater	1
137	trexgb	1
137	561cool	1
137	00000000-0000-0000-0009-01ff0c3e5e4f	1
