rank	username	minecraft:dropped/minecraft:iron_shovel
99	Warlord324	4
99	lordpipe	4
99	Ze_BaronKrigler	4
99	Kura2218	4
99	voiding_	4
99	brofrickcheaters	4
99	_TCARREIRA_	4
99	MilleGrug	4
127	k_ce	3
127	Ze1ig	3
127	soundad	3
127	AuroraValkyrie	3
127	Tommhh	3
127	EMC_	3
127	diamondgolem35	3
127	Flores991	3
127	Incinere	3
127	Wooptey	3
127	jushykins	3
127	TheThomas69	3
127	_Nuf	3
127	sandmire	3
127	Awyrlas	3
127	LeauVox4921	3
127	M_Patata	3
127	Theo34	3
127	Snowflowe	3
127	Hiryu27	3
127	selectrix	3
127	Vetral1	3
127	SaintJosie	3
127	fw3xywashere	3
127	Wowful	3
127	ogoa	3
127	NomadicRobin_	3
127	DTwenty	3
127	Deathkob	3
127	DanTheBuilderino	3
127	MAns_44	3
127	MightyWertu	3
127	__Auspicious	3
127	SkateboardR6	3
127	Dusk_95	3
127	MasterNueve	3
127	bruh072	3
127	bothan13	3
127	stavgod	3
127	Soul_Atreus	3
127	robotemo	3
127	pixelviolin	3
127	YungMaki	3
127	UCP_TheKingK	3
127	Soplight	3
127	PortlyPete69	3
127	obzii	3
127	Dogcorn69420	3
127	Nargotah	3
127	Winston_Ingram	3
127	Kubeusz2010	3
127	anbbang	3
127	FallenCorps	3
180	MunkaKris	2
180	Jovaphobic	2
180	heysushii	2
180	PhantomsGhost_	2
180	squigglybones	2
180	pZygh0st	2
180	Merv__	2
180	chimpmunker	2
180	SlavBylat	2
180	TheMilkerOfCats	2
180	Gemstuff	2
180	Houstonion	2
180	ExtraDumb	2
180	SaucyDark	2
180	Tolhart	2
180	tuckerdoodle	2
180	ewsophie	2
180	Batman922	2
180	ThiccExotic	2
180	NinjaKnifeKill	2
180	Lez_	2
180	MrKrabOnCoke	2
180	Swexti	2
180	Da_Boss_Rani	2
180	Ssor69	2
180	Pofen	2
180	Ozixar	2
180	dopplexd	2
180	cheerytomato	2
180	Comma__	2
180	firesgal3116	2
180	jacxhadow	2
180	bmac2718	2
180	12Magner05	2
180	Guillemet	2
180	shyshyannne	2
180	Enigma0251	2
180	ConcretePirate	2
180	excelsionprime	2
180	Kkanot	2
180	Kamflame10	2
180	Masssonnn	2
180	Motsaro	2
180	intropass	2
180	purpolepickle	2
180	DirtyBoar	2
180	XboxPanda	2
180	DermeinUser	2
180	fallingemma	2
180	0nly_sn1per	2
180	NotSoJamie	2
180	Winklepicker279	2
180	Windo_licker	2
180	legal_tax_evader	2
180	MyNameIsJobo	2
180	Zythose	2
180	burbankbuilder28	2
180	AlexStrange	2
180	LilyNova	2
180	Afinnity	2
180	NNikitas	2
180	Kouridragon	2
180	Onennon	2
180	Shiirazu	2
180	SvenskaAlvar	2
180	victorLIE	2
180	NormanFetus	2
180	Jimi7hits	2
180	IamCL4SSY	2
180	sufjanlover	2
180	ori0le	2
180	Tyrannosplart	2
180	HELLO_I_AM_BEAR	2
180	DrGrant	2
180	drumine	2
180	Soap_Bender	2
180	HellsSponge	2
180	claivin	2
180	ewpunk	2
180	BigCronkin	2
180	censorsheep	2
180	Xclax101	2
180	fluddd	2
180	GravitySaint	2
180	ChronoSounds	2
180	ProfessorDiaper	2
180	Typadopoulos	2
180	Toriankel	2
180	Yoaty	2
180	ElKaySVK	2
180	Razzgriz	2
180	SexcMf	2
180	Burge_r	2
180	BuildTheGondola	2
180	bloomkieren	2
180	tsitrawhy	2
180	CoryJJ	2
180	annoyingenderman	2
180	Hermanni__	2
180	alderban107	2
180	Vellu21	2
180	gwinti	2
180	FelixPSY375	2
180	Legendosh	2
180	Sral7	2
180	trexgb	2
286	rats_life	1
286	jojo1515151	1
286	goalie9	1
286	Groovy_MoonBird	1
286	elicobnoah	1
286	Harotio	1
286	ganyuganyu	1
286	CueMix	1
286	Cowison	1
286	CloroxBleach385	1
286	CadenSteele	1
286	_stets	1
286	BPTY4618	1
286	_darky1_	1
286	FujiBS	1
