rank	username	minecraft:dropped/minecraft:golden_chestplate
164	Hoid_the_Roamer	2
164	TheWildMateo	2
164	Werbe	2
164	selectrix	2
164	RobotMinion101	2
164	seramalen	2
164	F_Uhre	2
164	TheShyPig	2
164	TeenMomTom	2
164	aec9	2
164	XeroByMyth	2
164	IamCL4SSY	2
164	fkGrim	2
164	ykgelatina	2
164	_Karmaa	2
164	AstreaTSS	2
164	EfficientC52	2
164	kalzor	2
164	MightyWertu	2
164	RedcatVII	2
164	Buuck_	2
164	Barlycorn	2
164	Fildyr	2
164	ProfessorDiaper	2
164	Hisiste	2
164	IAmTheWalrus910	2
164	NiveauSubmarine	2
164	Kura2218	2
164	IlkeCookes_	2
164	Kyrum2169	2
164	miramyu	2
164	PortlyPete69	2
164	obzii	2
164	HAruSAme14	2
164	Dogcorn69420	2
164	Nargotah	2
164	MilleGrug	2
164	zOnlyKroks	2
164	KingMatthew506	2
164	hermmm_	2
164	VentiHilton	2
164	EngagedGrub41	2
164	Iamthejo	2
164	FelixPSY375	2
164	TwinTowerV2	2
164	calamariclam_I	2
164	diggydog67	2
241	Groovy_MoonBird	1
241	MuffinManzz	1
241	Bandito_Roamer	1
241	cletemo	1
241	SpartanNamor	1
241	RoskobiOne	1
241	fanofbands101	1
241	PazinGaming	1
241	AuroraValkyrie	1
241	teslawolf38	1
241	Niklas20114552	1
241	Dumkii	1
241	JewelIssac	1
241	Sleek_Storm_721	1
241	xXTheWolfmanXx	1
241	lcn	1
241	JapansDragon	1
241	BlancoFlaco	1
241	Sabby65	1
241	Killercatty78	1
241	ZaneABrain	1
241	WarHammer3	1
241	CoffeeNoir	1
241	MrKrabOnCoke	1
241	fr0stss	1
241	gaziter10	1
241	Swexti	1
241	TheMaster972	1
241	Rani_R	1
241	SquadMonster	1
241	ChampPog_	1
241	FirsTimeGamingTV	1
241	heckface	1
241	Euclidoris	1
241	Upstro10	1
241	cheerytomato	1
241	SnowfallUwU	1
241	xPixelRainx	1
241	ratglock	1
241	NasdaqCrash	1
241	_Nat666	1
241	Comma__	1
241	jushykins	1
241	jacxhadow	1
241	BobDeBouwer1337	1
241	ABUSNA1996	1
241	MattieHD	1
241	poopybh	1
241	SteveCraftBlocks	1
241	G1ldor	1
241	_witch_craft_	1
241	IKeepDying	1
241	AngalexikCZ	1
241	crying_wolf_13	1
241	Kamflame	1
241	UncreativeArtist	1
241	Awyrlas	1
241	fade_emerge78823	1
241	himak1	1
241	KGTV	1
