rank	username	minecraft:dropped/minecraft:birch_sign
166	TheDiamondCG	2
166	500am	2
166	surfinggiraffejp	2
166	olliebollie48	2
166	fallingemma	2
166	Ecplosive	2
166	Snowflowe	2
166	Hiryu27	2
166	ooga47	2
166	seramalen	2
166	Kokeech	2
166	Zielo2017PL	2
166	Elastiq	2
166	Lord_Jord	2
166	gustarlep	2
166	JoeSaysBingBong	2
166	Deodorante	2
166	wobn	2
166	The_Quack_Dealer	2
166	DarlaMeow	2
166	Shogunite	2
166	StinkyDiplomat	2
166	Racengan	2
166	OffWithTheirHead	2
166	Matorz	2
166	Airem_Core	2
166	_Ruzeeq_	2
166	layabout100	2
166	__tomato	2
166	Sequ1sha	2
166	SSytex_X	2
166	_Yonk_	2
166	NATE_the_HALO	2
166	HAruSAme14	2
166	CalebDHawk	2
166	monolu	2
166	Skippeh	2
166	PlasticOtari	2
212	Krasnal1337	1
212	PhantomsGhost_	1
212	ItsColin11	1
212	teslawolf38	1
212	ColeSnyder	1
212	RebelAndroid	1
212	livingdaydreams	1
212	Alteriity	1
212	Seyaboy	1
212	Arteriana	1
212	tsohomie	1
212	jessewegottacook	1
212	TheMaster972	1
212	Upstro10	1
212	Hamsanders	1
212	Lor1113	1
212	4774	1
212	Nach0Bear	1
212	lorpus	1
212	emrekn	1
212	SellyZ	1
212	xxPipperDipperxx	1
212	gcaisawesome	1
212	r123moore	1
212	NoxxxxiS	1
212	Covalents	1
212	imcombxt	1
212	ItzYaBoiPicard	1
212	AssaultZone	1
212	legal_tax_evader	1
212	fr_ser	1
212	SlayerCrypto	1
212	hanaryheatwave	1
212	_Boipl_	1
212	oscminus	1
212	epiksk8erduck	1
212	MikeTheMan4423	1
212	zToasty69z	1
212	Luminad3	1
212	Leyna3	1
212	Maenara	1
212	fw3xy74	1
212	Wowful	1
212	yulgur1	1
212	audiocracked	1
212	ese_wn_po	1
212	QuacksonThe3rd	1
212	drumine	1
212	Soap_Bender	1
212	_Karmaa	1
212	claivin	1
212	Deerfoot	1
212	Xclax101	1
212	cog	1
212	Groundler	1
212	BumbleBeever	1
212	MS_Pryxx	1
212	__Auspicious	1
212	wwwwinnebagoooo	1
212	monky_irl	1
212	iSammael	1
212	izzybearh	1
212	LetsDoItLive	1
212	sp00ky_ghost977	1
212	Cocoamallows	1
212	Kukkelikuk	1
212	Decaying_Lotus	1
212	sadvavilloso	1
212	Zetsey	1
212	BlankityMcBlank	1
212	non089	1
212	TheBananaKat	1
212	Lord_Lollo	1
212	CattSoup	1
212	little_dUki	1
212	AltnumberF4	1
212	MirielThePastor	1
212	Teebone15	1
212	JohnPrice	1
212	Faart	1
212	561cool	1
