rank	username	minecraft:dropped/minecraft:lantern
186	Trixididntdie	2
186	eviltunix	2
186	purpolepickle	2
186	fr_ser	2
186	Snowflowe	2
186	_Cloverbelle_	2
186	LeGold	2
186	AlexxO_o	2
186	dartwaffle	2
186	SvenskaAlvar	2
186	IamCL4SSY	2
186	MrQuanQuan	2
186	Dakar_	2
186	DarlaMeow	2
186	Fildyr	2
186	Seashimi	2
186	MineMaster0012	2
186	Kubeusz2010	2
186	erkada	2
186	h2p_emrld	2
213	k_ce	1
213	RoskobiOne	1
213	soundad	1
213	Foof13	1
213	xXTheWolfmanXx	1
213	ColeSnyder	1
213	Killercatty78	1
213	Hpdinosaur	1
213	ewsophie	1
213	Euclidoris	1
213	NieToksikpl	1
213	Comma__	1
213	bloodbiter	1
213	pr33tu	1
213	4774	1
213	Pineapplesugr	1
213	Uzbeki_John	1
213	NotKaden_	1
213	funnyblitz123	1
213	fallingemma	1
213	vampgey	1
213	SuperPooch06	1
213	Bumpy419	1
213	Jonte0599	1
213	sammidk	1
213	FishyBoy3811	1
213	lizardfightclub	1
213	parodypatient	1
213	Cordicus	1
213	SpouHn	1
213	Tiktola01	1
213	The_slideV3	1
213	ATurtle4936	1
213	cog	1
213	JoCoLi	1
213	LazySupport00	1
213	WyngGoy	1
213	Kura2218	1
213	ayamefag	1
213	Kyrum2169	1
213	Kijiki	1
213	BlankityMcBlank	1
213	tsitrawhy	1
213	Sheldor097	1
213	Njensen7	1
213	athereall	1
213	_KuruKuru	1
213	MrMeisterProper	1
213	vandmanden	1
213	Jimb0nat0r	1
213	PlasticOtari	1
213	00000000-0000-0000-0009-01faf4342590	1
