rank	username	minecraft:dropped/minecraft:obsidian
117	Z3braYTIL	43
117	Lord_Jord	43
119	fluddd	42
120	k_ce	41
120	Tenns	41
120	Krowuss	41
123	H0UNDFRMH3LL	40
123	_Nuf	40
125	ITDV	39
125	ROY4LE	39
125	Jimb0nat0r	39
128	NameGenerat0r	38
129	Warlord324	37
130	LeGold	36
130	Cocoamallows	36
132	RobotMinion101	35
133	YungWali	34
133	fffMike	34
135	hcb238	33
135	whoaluv	33
135	zOnlyKroks	33
138	Badenbeele	32
138	Incinere	32
138	MyNameIsJobo	32
138	NATE_the_HALO	32
142	Kura2218	31
142	CattSoup	31
144	teslawolf38	30
144	hm947	30
144	Enderxz3	30
147	EMC_	29
147	I_Am_Mushkin	29
147	ShedJr_	29
147	jcool7	29
151	Eczbox	28
151	groofles	28
151	SkateboardR6	28
151	Eczbek	28
155	DontHaveKick	27
156	Winklepicker279	26
157	Merv__	24
157	elmer1234	24
157	Bumpy419	24
157	Nicky19	24
157	CalebDHawk	24
162	Groovy_MoonBird	23
162	Ssor69	23
162	HolyVenom	23
162	Kubeusz2010	23
166	NinjaKnifeKill	22
166	Inchef	22
166	Sral7	22
169	RebelAndroid	21
169	TheThomas69	21
169	r123moore	21
169	NotKaden_	21
169	CaptainDeadBread	21
174	Historical_Sand	20
174	legal_tax_evader	20
174	Snowflowe	20
174	Kijiki	20
174	cichy096	20
179	MousePlays	19
179	__Auspicious	19
181	Deu_Stew	18
181	BigBootyHudge	18
181	Natty	18
181	Da_Boss_Rani	18
181	Comma__	18
181	DarlaMeow	18
181	Ze_BaronKrigler	18
181	bloomkieren	18
181	MirielThePastor	18
190	Sabby65	17
190	Arceus1975	17
190	The11thDoctor	17
190	Choco_Spy	17
190	_Karmaa	17
190	Soplight	17
196	trixterrx	16
196	dartwaffle	16
196	Hail_the_wombat	16
196	LeEricc	16
200	Creativebuilder2	15
200	GravitySaint	15
202	PhantomsGhost_	14
202	Hpdinosaur	14
202	TheSecondLord	14
202	AlexxO_o	14
202	Wowful	14
202	Fuad_R	14
202	iSammael	14
202	brofrickcheaters	14
210	Cowison	13
210	PazinGaming	13
210	Jokerman369	13
210	excelsionprime	13
210	Kakolbus	13
210	Eman__1	13
210	oscminus	13
210	Corbsman	13
210	lizardfightclub	13
219	Iagoku	12
219	ssleepless	12
219	F0mpel	12
219	_Dean_123	12
219	Drake_l0ver	12
219	kars0n	12
219	Xclax101	12
219	IAmTheWalrus910	12
219	little_dUki	12
228	SmashingPump	11
228	shdesolt	11
228	m_be9	11
228	UncreativeArtist	11
228	MinerDec	11
228	jewbacaman	11
228	Luminad3	11
228	Zoeyfortnite	11
236	TooManyDuck	10
236	youhjjhhhjj	10
236	lorywithay	10
236	Alteriity	10
236	ketaminmann	10
236	himak1	10
236	fallingemma	10
236	impossibleteapot	10
236	Nadhorion	10
236	zToasty69z	10
236	Russiancat1	10
236	AstreaTSS	10
236	560cool	10
236	ComplexSquirrel	10
236	monky_irl	10
236	ayamefag	10
236	TheEnderMan548	10
236	Kyrum2169	10
236	BreadBacon	10
255	peachfuzz1267	9
255	asspharte	9
255	ItsMrRamen	9
255	Moofyman	9
255	GooseWithin	9
255	Manaateee	9
255	Shin69	9
262	Lepthymo	8
262	Apollo_993	8
262	MixerDixer	8
262	zqw10k	8
262	livingdaydreams	8
262	SquadMonster	8
262	__TheNorseMan__	8
262	2Stout	8
262	Chromary	8
262	_Boipl_	8
262	FishyBoy3811	8
262	Lord_Zacler	8
262	Deodorante	8
262	djancak	8
262	KingMatthew506	8
262	youarefrench_	8
278	NatalieTW	7
278	vandmanden	7
280	MuffinManzz	6
280	chipklip	6
280	abramgray	6
280	Shiirazu	6
280	Maenara	6
280	fkGrim	6
280	Soap_Bender	6
280	33sudo	6
280	SvenskaHugo	6
280	stellarjay	6
280	_3Stump_	6
280	_KuruKuru	6
280	Legendosh	6
293	elicobnoah	5
293	diamondgolem35	5
293	itburb	5
293	Franco093	5
293	BobDeBouwer1337	5
293	Secret_Canary	5
293	ConcretePirate	5
293	lorpus	5
