rank	username	minecraft:crafted/minecraft:cooked_cod
108	mawileite	64
108	Njensen7	64
108	Nicserso	64
108	Jimb0nat0r	64
122	pintsizedrogue	62
123	Wooptey	61
123	SwooshBoi	61
125	CalebDHawk	59
126	stavgod	58
127	_AAZAR	56
128	Malorn_Aetherius	52
129	xX_Stalin69_Xx	49
130	AvaRosey	47
131	MinttyFressh	46
132	Firecracker320	43
132	QuiCreans	43
132	CharlieButt	43
135	firesgal3116	41
136	YungMaki	40
136	CattSoup	40
138	popcanter	39
139	DinoDoctor_	38
139	burbankbuilder28	38
141	Cocoamallows	37
142	Werbe	36
143	valiSW	35
143	Zetsey	35
145	openatheclose	32
146	sq0id	31
146	Druid95	31
148	oscminus	30
148	claivin	30
150	tramizu	29
150	AnnieBathory	29
150	The11thDoctor	29
150	Xclax101	29
150	Skippeh	29
155	whoaluv	27
155	Soplight	27
157	Notta	26
157	mimbo1211	26
157	xzvu	26
160	youhjjhhhjj	25
160	Covalents	25
160	bndo	25
160	bloomkieren	25
164	Hyp3rion_	24
165	Sleek_Storm_721	23
165	_Razaria	23
165	moertymoertan	23
165	handsome_strong	23
169	teslawolf38	22
169	MindyDooWho	22
169	King_Pancake1	22
172	ratglock	21
172	ashetrays	21
172	_Boipl_	21
175	lunathelemon	20
175	LokisCharredFace	20
175	Erased_Identity	20
175	RadarHz	20
179	SkyHighSkier	19
179	voiding_	19
181	luseis	18
182	Mr_Byzantine	17
182	noam464	17
182	CollinMH06	17
182	F_Uhre	17
182	MirielThePastor	17
187	SolicitedPuma101	16
187	Sheldor097	16
187	mountaingirl311	16
190	Azorathum	15
190	Paleshield	15
190	QueenShuvi	15
190	PabloGonza02	15
194	fallingemma	14
194	Kouridragon	14
194	Soul_Atreus	14
197	dudcreeper	13
197	Airem_Core	13
197	IdeallyGrey	13
197	MissCeleste7	13
201	Jorrdi	12
201	SlowMoNinja1994	12
201	CarsonDoesMine	12
201	Batman922	12
201	Jackster03	12
201	LitoDelvito	12
201	Kubelz	12
201	Apicomplexa	12
209	NotoriousNina	11
209	The_Fulgurator	11
209	PaperCanvas	11
209	CarryLine	11
209	majlin16	11
209	Shin69	11
215	Ailmast	10
215	Reamdin	10
215	ItsAki_	10
215	DemTechAlpha	10
215	lordpipe	10
215	Vellu21	10
215	FedirSpectator	10
222	Seyaboy	9
222	AJplaysMC_	9
222	KermitTheKripple	9
225	FujiBS	8
225	ivorico	8
225	Sangre88	8
228	Ryan_GEMS	7
228	PBandChocolate	7
228	titanlax	7
228	Gingayy	7
228	PegLegPete93	7
228	ScootOfBoot	7
228	Fildyr	7
228	Warlord324	7
236	Frozil20	6
236	nattybears	6
236	nocturne78	6
236	okCrypto	6
236	grislgrobl	6
236	Mattesco	6
236	E775	6
236	StarCookiees_	6
236	FadedSpade82	6
236	Steelynan	6
246	Cryptacity	5
246	SIRdrumroll	5
246	Lord_Zacler	5
249	seanitoo	4
249	mennorovers	4
249	heckface	4
249	crying_wolf_13	4
249	thescout7	4
249	KGTV	4
249	Xalithia	4
249	WET_WET_WET	4
249	JETrotter	4
249	skelctal	4
249	Toiton	4
249	StinkyDiplomat	4
249	MustaLoordi	4
249	mihimihimihi	4
249	EtherealEspresso	4
249	Celeste_121	4
249	Deguns123	4
249	OrewaSora	4
249	skrongus	4
249	IronicUwU1	4
269	Batoser	3
269	Jalvajar	3
269	lilsay	3
269	CaptainDeadBread	3
269	Cattoh	3
269	censorsheep	3
269	robotemo	3
269	SSytex_X	3
269	Kferno	3
269	KingMatthew506	3
279	TooManyDuck	2
279	Ozixar	2
279	Z3braYTIL	2
279	Inconvenionce	2
279	wrinkledpiglet	2
279	TiborSterle	2
279	El_Jalapeno	2
279	MovingFish7	2
279	starbits140	2
279	Nekomin0	2
279	Western_1	2
279	Moetis	2
279	DennyKai	2
279	krutas2000	2
279	Nargotah	2
294	No_Bena	1
294	Elprone266	1
294	ewsophie	1
294	CoffeeNoir	1
294	Vizzoid	1
294	CompoundMedic	1
294	MattieHD	1
