rank	username	minecraft:crafted/minecraft:stone_brick_slab
242	SaltineDream	142
243	pappaberg	138
244	shineh10	132
244	MindyDooWho	132
244	breadbowlgamer	132
244	MilleGrug	132
244	bladeefan2009	132
249	Zedducius	126
249	Kkanot	126
249	SPUDonSTEROIDS	126
249	FishyBoy3811	126
249	ogoa	126
249	Jaka_Saurus_715	126
249	mawileite	126
249	diggydog67	126
257	JohnnyMines	120
257	RebelAndroid	120
257	kairosIV	120
257	fkGrim	120
257	SlinkyPinky	120
257	PortlyPete69	120
257	MrTentacles2169	120
257	xorompole	120
265	prizm_	116
266	Hoid_the_Roamer	114
266	Tiktola01	114
266	Skippeh	114
266	Quotary	114
270	Kijiki	112
270	_TCARREIRA_	112
272	himak1	108
272	ReflexCode	108
274	Ghemmah	104
275	SyK7	102
275	PazinGaming	102
275	FirsTimeGamingTV	102
275	LeauVox4921	102
275	platinumzero	102
280	theonlymagikarp	100
281	ssleepless	96
281	Blazebit	96
281	toj__	96
281	andy_rex	96
281	Eczbek	96
286	Tommhh	94
287	Motsaro	90
287	Touched_Bread	90
287	Freeman666	90
287	2bolx_	90
291	CoffeeNoir	84
291	fr0stss	84
291	ZigzagLily43042	84
291	paranoid_plant	84
291	IamCL4SSY	84
291	1442	84
291	Dooinfe	84
298	fallingemma	78
298	Enderxz3	78
300	silverpopcorn	72
