rank	username	minecraft:crafted/minecraft:gold_ingot
198	eviltunix	494
199	GravitySaint	492
200	picardred	491
201	Malorn_Aetherius	490
202	h2p_emrld	478
203	Jovaphobic	475
203	Awyrlas	475
205	SvenskaHugo	474
206	Rasmanden	466
207	Steven1282598	464
208	Noah_Bez	459
209	_8man	455
210	FelixPSY375	451
211	NinjaKnifeKill	449
212	bloomkieren	448
213	_NieToksikpl_	445
213	youhjjhhhjj	445
215	Sabby65	440
216	FirsTimeGamingTV	439
217	_Karmaa	438
218	CoryJJ	435
219	cedric72	433
220	ShedJr_	431
221	Nycteus_	428
222	Sheldor097	423
223	Cryptacity	421
224	LetsDoItLive	420
225	jcool7	415
226	soundad	409
227	Quaintster	405
228	Hiryu27	397
228	amkold	397
230	Mewar	396
230	ClemenPine	396
232	fkGrim	395
233	ImDisconnected_	393
234	Jackster03	392
234	Toriankel	392
234	coobert42	392
237	PlzNoBM	389
238	xxPipperDipperxx	379
239	El_Jalapeno	378
240	RedcatVII	374
241	MyNameIsDakar	372
242	XboxPanda	371
243	Blu3beast	370
244	NoChumpChange	364
244	Typadopoulos	364
246	MSK__	361
247	SkateboardR6	355
248	theonlymagikarp	353
248	1442	353
250	zorin123	352
251	Skomo	349
252	SwooshBoi	348
253	Flapjacker687	347
253	Vegvisir	347
255	Decaying_Lotus	346
256	Rebytre	345
256	FishyBoy3811	345
256	cytotoxaint	345
259	Hermanni__	344
260	Reamdin	343
261	NotMeowMix	342
262	Tobinator_007	340
262	Razzgriz	340
264	obzii	339
265	lizardfightclub	338
266	_3Stump_	334
267	gabriels543	333
268	q_wq	332
269	TAKrules	330
270	NYJ	329
271	CharlieButt	326
272	anbbang	324
273	Sleek_Storm_721	323
274	crying_wolf_13	322
275	jacxhadow	321
276	Zoeyfortnite	318
277	cichy096	317
278	Tommhh	315
278	LotusProject	315
280	Flores991	314
281	Euclidoris	310
282	kyouma777	306
283	Darkgon	305
284	AlphaWolfPlaysMC	303
284	Kubeusz2010	303
286	TheTommyGun63	301
287	whoaluv	298
288	The_slideV3	297
288	Kferno	297
290	Valoth	296
291	Thaumatarge	293
292	Omar_Alone	292
293	G1ldor	290
294	Froste131	289
295	surfinggiraffejp	287
296	PegLegPete93	285
297	yatsuta	282
298	ExtraDumb	280
298	Powowowow	280
300	Corbsman	276
