rank	username	minecraft:crafted/minecraft:polished_diorite
110	ImpavidArcher	248
110	theonlymagikarp	248
112	Merv__	240
112	set67	240
114	dongli	236
114	Skylord_Luke	236
116	AuroraValkyrie	228
116	dnlksl	228
118	AnnieBathory	220
118	DarlaMeow	220
120	Jokerman369	216
120	Studyhallsaver	216
122	q_wq	212
123	Akoot_	208
124	LilLizardWizard	204
124	Nicserso	204
124	Enderslayerxz3	204
124	Yahrto	204
128	SlowMoNinja1994	200
129	Auseawesome	196
130	diamondgolem35	192
130	Ssor69	192
130	benediktine1	192
130	mariominejedi	192
130	_naturell	192
130	Racengan	192
130	sebastiensaborio	192
137	Gooberkid223	184
138	JayToe	180
139	Jackster03	176
139	Nekomin0	176
141	ItsAki_	172
142	BilboBaggins23	168
142	Purplehere	168
142	Rebytre	168
145	IdeallyGrey	156
146	platinumzero	152
147	Nach0Bear	141
148	kars0n	140
148	The_slideV3	140
150	_Nuf	136
150	Kamflame10	136
150	_Boipl_	136
153	MineMaster0012	133
154	CoffeeNoir	132
154	andy_rex	132
154	Quotary	132
157	SyK7	128
157	hcb238	128
157	audiocracked	128
157	NameGenerat0r	128
157	fffMike	128
157	vandmanden	128
157	YoshikageBites	128
164	bloodbiter	124
164	RefluxRatio	124
164	Donutt	124
167	Ardennes	120
167	Groundler	120
169	r123moore	118
170	brrh	116
170	Strangemonkey71	116
170	PlasticOtari	116
173	Tergandius	112
173	Quincannon	112
175	oreee	108
175	BlankityMcBlank	108
177	kinas45y5	104
177	diggydog67	104
179	kekhon	100
179	pixelviolin	100
181	LordSpeed37	92
181	Eraxa	92
181	Shin69	92
184	MyNameIsJobo	84
185	Mariopreeet	80
185	Muffindrake	80
187	jacxhadow	72
187	NotoriousNina	72
189	RebelAndroid	68
189	Historical_Sand	68
191	Mr_Byzantine	64
191	error10101	64
191	Lukeee33	64
191	H72l9w	64
191	Alphanzt99	64
191	ratglock	64
191	MinttyFressh	64
191	wiqor	64
191	redikul	64
191	crying_wolf_13	64
191	Awyrlas	64
191	NoxxxxiS	64
191	hayybails	64
191	CrateOfBoxes	64
191	pappaberg	64
191	Rasmanden	64
191	FlashMigma	64
191	MightyWertu	64
191	GravitySaint	64
191	Chaotic1s	64
191	layabout100	64
191	xof_on_microwave	64
213	nocturne78	60
213	Arceus1975	60
213	Jij0	60
216	_nahoy	56
216	ProfessorDiaper	56
216	markaus77	56
219	FirsTimeGamingTV	52
219	HAIRYCLOUD626	52
219	snizv1	52
219	al626win52	52
223	MOSS000	48
223	lilsay	48
223	MAns_44	48
223	CLUBN2	48
227	Lotheburgh	44
227	Dogcorn69420	44
227	h2p_emrld	44
230	Arteriana	40
230	SUSUGAM	40
230	NoxXIV	40
233	Mocha_Mug	36
233	Cortexia	36
233	Invisie	36
233	stellarjay	36
237	rats_life	32
237	Bandito_Roamer	32
237	_Virify_	32
237	Freebolt	32
237	420BreadLizard	32
237	MangoSalad316	32
237	faqpilot	32
237	mountaingirl311	32
237	Lowjinx	32
246	jpoxman	28
246	ashetrays	28
246	Stiar	28
246	jedi_george	28
246	byFlixxx	28
246	Shychelsoo	28
246	Drewen24	28
246	Sky_light_KING	28
246	starbits140	28
255	Argraol	24
255	Bobby808	24
255	PegLegPete93	24
255	CharlieButt	24
255	Barlycorn	24
255	Sheldor097	24
261	Mowelan	20
261	dream_mist	20
261	Fullut	20
261	The_Fulgurator	20
261	Bumpy419	20
261	eSpawNa	20
261	TheEnderman548	20
268	Paint	16
268	fkGrim	16
268	mobunni	16
268	oxfordschool	16
272	SLASHZEERA	12
272	Avrelion	12
272	godipose	12
272	Karbl	12
276	TheDankPlatypus	10
276	Jamstroxian	10
278	eitanzaki	8
278	DirtyDalle	8
278	proxivitoid	8
278	FlagsAreBad	8
282	nataliecool	4
282	ShedJr_	4
282	tramizu	4
282	Scathra	4
282	thescout7	4
282	Boogaloo242	4
282	DermeinUser	4
282	BlueZabu	4
282	thewindmillman	4
282	CaptainDeadBread	4
282	madderfall	4
282	Renchi19	4
282	E775	4
282	Conrad139	4
282	sadvavilloso	4
282	Moetis	4
282	Kubeusz2010	4
282	Deliriohm	4
300	Airem_Core	1
