rank	username	minecraft:crafted/minecraft:stone_pickaxe
170	Tolhart	10
170	Comma__	10
170	Aatronix	10
170	stopfive	10
170	Gingayy	10
170	DSYisDizzy	10
170	RIPB0ZO	10
170	fallingemma	10
170	wwwwinnebagoooo	10
170	starbits140	10
170	Soplight	10
170	blackmage426	10
170	jnp_gaming	10
185	Lukeee33	9
185	eitanzaki	9
185	Base_Tempest	9
185	NinjaKnifeKill	9
185	Hormones	9
185	Jonathan__Doe	9
185	IWorkAtIkea	9
185	FirsTimeGamingTV	9
185	MoistEggo	9
185	Lumien_	9
185	Dirtamaster	9
185	ehunt54	9
185	maaacaroni	9
185	Rumpletaezer	9
185	Goat_Curdle	9
185	NoChumpChange	9
185	560cool	9
185	OkamiITA	9
185	Optiprimus	9
185	KingMatthew506	9
185	RadarHz	9
185	CrazyPotater	9
207	Mr_Byzantine	8
207	RoskobiOne	8
207	Merv__	8
207	ImNotYuqii	8
207	Alteriity	8
207	HazenBlazin	8
207	_themselves	8
207	heckface	8
207	Prodiginus	8
207	TheSecondLord	8
207	firesgal3116	8
207	ThePoliteG	8
207	Ardennes	8
207	_Dean_123	8
207	Fullut	8
207	Nab3rius	8
207	ZeroAbyssTTV	8
207	Orcus113	8
207	TakeThis2UrGrave	8
207	Jackattack53	8
207	thewindmillman	8
207	Studyhallsaver	8
207	Sheellky	8
207	Moofyman	8
207	CaptainAvenger7	8
207	Austinizzle	8
207	ILoveCarrot	8
207	ElderRifken	8
207	sufjanlover	8
207	Xclax101	8
207	GeromeMerris	8
207	OG_Songsee	8
207	CACTUSLAD	8
207	noodlesforbrains	8
207	c0la_c0ca	8
207	Poppy235	8
207	OfficerAnvil	8
207	momis24	8
207	MusicMe1005	8
207	Teebone15	8
207	DkansK	8
248	MunkaKris	7
248	rats_life	7
248	SaltineDream	7
248	pintsizedrogue	7
248	Krimys	7
248	Thaumatarge	7
248	NatalieTW	7
248	BigBootyHudge	7
248	ImpavidArcher	7
248	Franco093	7
248	Silenttieg	7
248	T045RTY	7
248	DangusCnt	7
248	w3nd3lbo3	7
248	musique99	7
248	Dakota100	7
248	ABUSNA1996	7
248	lordofthelight95	7
248	corvidpartyfor6	7
248	Kamflame10	7
248	_Magdo_	7
248	Boogaloo242	7
248	LitoDelvito	7
248	ItzYaBoiPicard	7
248	breadbowlgamer	7
248	MyNameIsJobo	7
248	sarahlynn00	7
248	ibarker21	7
248	dendydoom	7
248	ItsAki_	7
248	Smussa	7
248	_nahoy	7
248	cedric72	7
248	spencersolberg	7
248	Fuhrer_Teemo	7
248	frankosgf	7
248	MAns_44	7
248	OreoPenguin_	7
248	OrangeJuiceBox	7
248	iGotUrHost	7
248	yoyoYoloMonke	7
248	DamagedSin	7
248	DavinaJustVibing	7
248	NebulousBadger	7
248	tonyth3tiger	7
248	Sank34	7
248	__tomato	7
248	MADDMASTA	7
248	PortlyPete69	7
248	felincaus	7
248	Nargotah	7
248	alderban107	7
300	Paint	6
