rank	username	minecraft:crafted/minecraft:scaffolding
206	Da_Boss_Rani	162
206	Comma__	162
209	_stets	156
209	Swexti	156
209	PortlyPete69	156
212	Creativebuilder2	150
212	H72l9w	150
212	ewpunk	150
215	TAKrules	144
215	SirPiccardo	144
215	Xclax101	144
215	striker90333	144
215	Enderxz3	144
215	JayToe	144
221	Jackster03	138
221	featherflyy	138
221	Stynxy	138
221	Kkanot	138
221	Hoid_the_Roamer	138
221	Meatlaugh	138
221	Smiguli_	138
221	djancak	138
221	2blox_	138
230	SaucyDark	132
230	Juk3b0x	132
230	non089	132
233	jessemgaming	126
233	Hpdinosaur	126
233	Huwulling	126
233	Rocco_Lane	126
233	Vetral1	126
233	El_Jalapeno	126
239	Kim_Jong_eel	120
239	Inbefour	120
239	BumbleBeever	120
239	RoboTramp7865	120
239	WYFYoyo	120
244	sp00ky_ghost977	117
245	The11thDoctor	114
245	DTwenty	114
245	Nycteus_	114
245	Druid95	114
245	Zoeyfortnite	114
250	ExtraDumb	108
250	KomputerDude	108
250	thgrocks	108
250	GravitySaint	108
254	burbankbuilder28	102
254	Mattesco	102
254	Dakar_	102
254	NameGenerat0r	102
254	Kowcio_	102
254	zOnlyKroks	102
260	Tommhh	96
260	ActualPatbaf	96
260	CoffeeNoir	96
260	mattybeewrapss	96
260	audiocracked	96
260	handsome_strong	96
260	weabis	96
260	Mistruth	96
268	DarlaMeow	90
268	ReyTheLegend	90
268	JohnPrice	90
271	ColeSnyder	84
271	KeruNatsema	84
273	Rumpletaezer	78
273	starbits140	78
273	KingMatthew506	78
276	cheerytomato	72
276	GLLogan2	72
276	pappaberg	72
276	fluddd	72
276	xolstoi	72
281	Prodiginus	66
281	Kouridragon	66
281	XxCookiequeenxX	66
281	Fuhrer_Teemo	66
281	Cocoamallows	66
281	Optiprimus	66
281	SvenskaHugo	66
281	_KuruKuru	66
289	Lukeee33	60
289	RatatJuice	60
289	jessewegottacook	60
289	Cryptacity	60
289	PegLegPete93	60
289	ARandomHedge	60
289	whoaluv	60
289	_8man	60
289	JitteryJared2	60
289	FishyBoy3811	60
289	DemTechAlpha	60
289	ElectricDragon81	60
