rank	username	minecraft:crafted/minecraft:smooth_stone_slab
109	fluddd	156
109	Kferno	156
114	Mewar	150
114	Kynigito	150
116	ewsophie	144
117	Ze1ig	138
117	zylanzagreat	138
117	SuperPooch06	138
117	Bumpy419	138
117	Racengan	138
122	Optiprimus	134
123	Mr_Byzantine	132
123	shyshyannne	132
123	GravitySaint	132
126	Tolhart	126
126	peach0s	126
126	Arceus1975	126
126	CrateOfBoxes	126
126	Werbe	126
126	TiborSterle	126
132	Barlycorn	120
132	Winston_Ingram	120
134	EcksDofficial	114
135	Deathkob	110
136	TinMaster	108
136	Darkgon	108
136	MovingFish7	108
139	Typadopoulos	102
140	GLLogan2	96
140	Vetral1	96
140	MakeHistory157	96
140	__tomato	96
144	500am	90
145	Sloths_Ender	84
145	TeenMomTom	84
145	Soplight	84
148	Da_Boss_Rani	78
148	Inchef	78
148	Hermanni__	78
151	PhantomsGhost_	72
151	Jij0	72
153	Jiminie	70
154	Comma__	66
154	fw3xywashere	66
154	chipklip	66
154	Cocoamallows	66
154	SammiWolfGirl	66
159	diamondgolem35	60
159	andy_rex	60
159	yulgur1	60
159	_Karmaa	60
159	alderban107	60
164	KarlKaek	54
164	Nicky_H225	54
164	The_slideV3	54
167	slkiey	48
167	mariominejedi	48
167	masskedman	48
167	Blu3beast	48
167	LordSpeed37	48
167	Pickel_Lord	48
167	Eczbek	48
167	TechnoNinja64	48
175	Tobinator_007	42
175	dimondking777	42
175	beeperbeeper5	42
175	SoftSix	42
175	Lumien_	42
175	_Boipl_	42
175	Fildyr	42
175	mobunni	42
175	Quotary	42
175	x86assembly	42
185	RebelAndroid	38
186	jspwn	36
186	Fullut	36
186	XboxPanda	36
186	domagawha	36
186	Bloo2406	36
186	Dusk_95	36
186	IvarEXE	36
186	fffMike	36
194	abramgray	30
194	zorin123	30
194	toj__	30
194	Chromary	30
194	Onennon	30
194	Truckoss	30
194	HyperCave	30
194	Syropatathe	30
194	Meatlaugh	30
203	xxPipperDipperxx	26
204	RoskobiOne	24
204	soundad	24
204	TooManyDuck	24
204	DrichAldrich	24
204	Zedducius	24
204	Rebytre	24
204	Segotep999	24
204	JohnPrice	24
212	sp00ky_ghost977	22
213	Tommhh	18
213	Hyugo	18
213	Minimize501	18
213	TheSecondLord	18
213	Ardennes	18
213	ProfessorBee	18
213	_Dean_123	18
213	FishyBoy3811	18
213	Drewen24	18
213	RodSerlingCringe	18
213	XxCookiequeenxX	18
213	Kowcio_	18
213	ediballbearings	18
213	PlzNoBM	18
213	Zoeyfortnite	18
228	Louiis123	12
228	Jovaphobic	12
228	Bandito_Roamer	12
228	q_wq	12
228	BlancoFlaco	12
228	tuckerdoodle	12
228	H72l9w	12
228	Swexti	12
228	FirsTimeGamingTV	12
228	12Magner05	12
228	MinttyFressh	12
228	_Nuf	12
228	egglapras	12
228	SharpDev	12
228	Noah_Bez	12
228	platinumzero	12
228	TheDankPlatypus	12
228	AlexStrange	12
228	_naturell	12
228	sammidk	12
228	Inbefour	12
228	fkGrim	12
228	YungWali	12
228	ProfessorDiaper	12
228	stavgod	12
228	Fizznut909	12
228	Powowowow	12
255	Dedalus36	8
255	hm947	8
255	CruncyIsTaken	8
258	RosaDoesMC	6
258	weezygator	6
258	_Virify_	6
258	strongman951753	6
258	6king6colt6	6
258	I_Am_Mushkin	6
258	xXTheWolfmanXx	6
258	ColeSnyder	6
258	Incinere	6
258	livingdaydreams	6
258	Jahara	6
258	mennorovers	6
258	fr0stss	6
258	gaziter10	6
258	nocturne78	6
258	Digcove	6
258	Ssor69	6
258	Ozixar	6
258	Sparky_KT	6
258	Cryptacity	6
258	jacxhadow	6
258	BobDeBouwer1337	6
258	kekhon	6
258	Enigma0251	6
258	wiqor	6
258	Smashic	6
258	crying_wolf_13	6
258	emrekn	6
258	orxngejuice	6
258	2Stout	6
258	DSYisDizzy	6
258	Stiar	6
258	TableTim	6
258	Purplehere	6
258	fallingemma	6
258	Karetoko	6
258	Ecplosive	6
258	Bazongoman	6
258	CollinMH06	6
258	loveseeker	6
258	Sagaram	6
258	nitram49b	6
258	Rumpletaezer	6
