rank	username	minecraft:crafted/minecraft:quartz_block
203	TheOuterCore	416
204	Shogunite	410
205	paranoid_plant	406
206	Tobinator_007	402
207	surfinggiraffejp	380
208	claivin	378
209	pumpfonzo	360
210	Bazongoman	356
211	Avocadogerms	354
212	Groovy_MoonBird	353
213	Quotary	352
214	DracZz	349
215	CliffEmAll	345
216	mihimihimihi	341
217	k_ce	339
217	Napoleonpancake	339
217	bigstankyy	339
220	XboxPanda	333
221	_witch_craft_	323
221	InchoateOyster	323
223	SaucyDark	320
223	UrbanPlanningEx	320
225	striker90333	315
226	LexMakesHistory	288
227	Luigipunch989	283
228	Aakvaa	281
229	Cocoamallows	280
230	theonlymagikarp	279
231	fanofbands101	276
232	ZoomieZoomie	272
233	Blu3beast	269
234	titanlax	267
235	Bandito_Roamer	261
236	djancak	260
237	selectrix	256
237	MC_Skribble	256
239	steppe_nomad	250
240	PuFY	248
241	JitteryJared2	245
242	TheSeismicDuck	244
242	MustaLoordi	244
244	Ssor69	243
245	shrimp_flips	241
246	M_Patata	240
246	MasterNueve	240
248	gamerlord1324	237
248	drunkeeez	237
250	DarlaMeow	234
251	Swexti	230
252	MyNameIsJobo	225
252	RedcatVII	225
254	skroobiez	223
254	_flud	223
256	BobDeBouwer1337	220
256	OfficerAnvil	220
258	El_Jalapeno	213
259	audiocracked	212
260	Rebytre	208
260	weabis	208
260	alanbleachdemon	208
263	Boipl	207
264	andy_rex	206
265	EfficientC52	205
265	Steelynan	205
267	bloodbiter	200
268	chimpmunker	196
268	Hpdinosaur	196
268	_i_ERROR_i_	196
271	corvidpartyfor6	193
272	_Virify_	192
272	Spenduh	192
272	Yahrto	192
275	legal_tax_evader	191
275	Moofyman	191
275	Deathkob	191
278	Jackster03	189
279	stavgod	188
280	FirsTimeGamingTV	186
281	soundad	181
281	Wowful	181
281	SammiWolfGirl	181
284	Sleek_Storm_721	177
285	burbankbuilder28	176
286	remmisrat	164
287	PazinGaming	156
288	Arceus1975	155
289	Niklas20114552	153
289	SexcMf	153
291	q_wq	149
291	AlphaWolfPlaysMC	149
293	PixelatedBoss	147
294	DrowsyOracle	144
295	GravitySaint	142
296	MovingFish7	140
297	jacxhadow	139
298	chlorinex	137
298	NieToksikpl	137
300	FelixPSY375	136
