rank	username	minecraft:crafted/minecraft:bow
242	SUN_DREAM	6
242	MakeHistory157	6
242	starbits140	6
242	lcvezra	6
242	SpacesickPrism	6
242	h2p_emrld	6
259	AuroraValkyrie	5
259	Killercatty78	5
259	Hpdinosaur	5
259	Euclidoris	5
259	ProfessorBee	5
259	Megarboh	5
259	zorin123	5
259	set67	5
259	Mewar	5
259	Karetoko	5
259	SlayerCrypto	5
259	F_Uhre	5
259	PuFY	5
259	Kim_Jong_eel	5
259	Rasmanden	5
259	AlphaWolfPlaysMC	5
259	Wowful	5
259	binman420	5
259	lillips	5
259	MAns_44	5
259	Vorlice	5
259	Hisiste	5
259	Lord_Doob	5
259	MineMaster0012	5
259	Vellu21	5
259	TheOnlyRake	5
259	UrbanPlanningEx	5
259	MelodyGaysharks	5
287	Mr_Byzantine	4
287	Froste131	4
287	Tommhh	4
287	Hysna	4
287	hm947	4
287	NinjaKnifeKill	4
287	Prodiginus	4
287	BilboBaggins23	4
287	slkiey	4
287	MRC_Gaming	4
287	UncreativeArtist	4
287	surfinggiraffejp	4
287	XboxPanda	4
287	mimbo1211	4
