rank	username	minecraft:crafted/minecraft:gold_nugget
272	Snowflowe	21
273	SmashingPump	18
273	SlowMoNinja1994	18
273	SaucyDark	18
273	wiqor	18
273	whoaluv	18
273	QueenCamilla	18
273	Donutt	18
273	msJabberwock	18
273	audiocracked	18
273	StinkyDiplomat	18
273	E775	18
273	MAns_44	18
273	hdtpm	18
273	MineMaster0012	18
287	livingdaydreams	17
288	starbits140	11
288	Zoeyfortnite	11
290	Paint	10
290	Silvo614	10
292	seanitoo	9
292	Ailmast	9
292	Hpdinosaur	9
292	Rasaq	9
292	Whiterooster001	9
292	dopplexd	9
292	MrExplorer	9
292	shyshyannne	9
292	_Dean_123	9
