rank	username	minecraft:crafted/minecraft:crafting_table
154	IWorkAtIkea	30
154	heckface	30
154	crying_wolf_13	30
154	MyNameIsJobo	30
154	RobotMinion101	30
154	Russiancat1	30
154	SkateboardR6	30
154	KingMatthew506	30
162	r123moore	29
162	_Boipl_	29
162	07shiny	29
162	TechnoNinja64	29
162	CrazyPotater	29
167	_stets	28
167	lotarp	28
167	Swexti	28
167	MattieHD	28
167	masskedman	28
167	Fildyr	28
167	cichy096	28
167	Powowowow	28
175	Bandito_Roamer	27
175	_NieToksikpl_	27
175	Kamflame10	27
175	benediktine1	27
175	El_Jalapeno	27
175	Vorlice	27
175	sp00ky_ghost977	27
175	TheOnlyRake	27
183	Ssor69	26
183	KeruNatsema	26
183	NomadicRobin_	26
183	lillips	26
183	JESS_THE_RERE	26
183	obzii	26
189	Ozixar	25
189	Ardennes	25
189	Nach0Bear	25
189	eviltunix	25
189	Kouridragon	25
189	ogoa	25
189	MovingFish7	25
189	IAmTheWalrus910	25
189	jcool7	25
198	TheDankPlatypus	24
198	_Bguette_	24
198	wobn	24
198	Nycteus_	24
202	seanitoo	23
202	301851	23
202	Cryptacity	23
202	ProfessorBee	23
202	XboxPanda	23
202	loveseeker	23
202	Kryktal	23
202	audiocracked	23
202	Razzgriz	23
202	_TCARREIRA_	23
212	Natty	22
212	Awyrlas	22
212	fred870d	22
212	lizardfightclub	22
212	Maenara	22
212	censorsheep	22
212	Barlycorn	22
212	Typadopoulos	22
212	TheTommyGun63	22
212	BlankityMcBlank	22
212	Vellu21	22
223	TAKrules	21
223	SteveWithClout	21
223	FirsTimeGamingTV	21
223	Malorn_Aetherius	21
223	0nly_sn1per	21
223	selectrix	21
223	Nicky19	21
223	yulgur1	21
223	Karbl	21
223	Dusk_95	21
233	_Razar	20
233	CoffeeNoir	20
233	himak1	20
233	AnnieBathory	20
233	andy_rex	20
233	AlexStrange	20
233	Jiminie	20
233	DarlaMeow	20
233	SingedBread	20
233	Ze_BaronKrigler	20
243	ratglock	19
243	jacxhadow	19
243	_Nuf	19
243	__TheNorseMan__	19
243	fallingemma	19
243	The_Quack_Dealer	19
243	GoofyBread	19
243	Bloo2406	19
243	Matorz	19
243	starbits140	19
243	SammiWolfGirl	19
243	Njensen7	19
255	MinttyFressh	18
255	tobinwilliams	18
255	_naturell	18
255	Wowful	18
255	MakeHistory157	18
255	PlzNoBM	18
255	Logain42	18
255	Sheldor097	18
255	OfficerAnvil	18
255	BreadBacon	18
255	MeetTheWollo	18
266	ProbablyNick	17
266	Harotio	17
266	Healthing	17
266	AshleeCW	17
266	hm947	17
266	Natofthese	17
266	Parcc	17
266	Shiirazuku	17
266	aec9	17
266	thgrocks	17
266	Meatlaugh	17
266	Nekomin0	17
278	jpoxman	16
278	Hyugo	16
278	fr0stss	16
278	titanlax	16
278	TheThomas69	16
278	surfinggiraffejp	16
278	breadbowlgamer	16
278	BlueZabu	16
278	PeteO1995	16
278	CollinMH06	16
278	xambsam	16
278	WET_WET_WET	16
278	DaviusMaximoose	16
278	CrateOfBoxes	16
278	BronkerBrum	16
278	AlphaWolfPlaysMC	16
278	Factoroni	16
278	Omar_Alone	16
278	Dreamdbr14	16
278	Mr_Teddiursa_K	16
278	UrbanPlanner1978	16
278	Teebone15	16
300	Louiis123	15
