rank	username	minecraft:mined/minecraft:nether_wart
259	anbbang	20
259	BreadBacon	20
272	q_wq	19
272	Covalents	19
272	M_Patata	19
272	RyuNeko932000	19
272	MasterNueve	19
272	Bawbman	19
278	heysushii	18
278	dabloons	18
278	TakeThis2UrGrave	18
278	Warlord324	18
282	boysnort	17
282	NameGenerat0r	17
282	MissCeleste7	17
285	jacxhadow	16
285	DTwenty	16
287	impossibleteapot	15
288	KingFaenor	14
288	MindyDooWho	14
288	PegLegPete93	14
288	nitram49b	14
288	Skomo	14
288	Frozil12	14
288	BumbleBeever	14
288	HAruSAme14	14
296	_Crimson_Legate	13
296	Darkgon	13
296	OG_Songsee	13
296	Spenduh	13
300	diamondgolem35	12
