rank	username	minecraft:mined/minecraft:dark_oak_stairs
280	cringenaynaybaby	21
280	Matorz	21
284	nocturne78	20
284	Ozixar	20
284	Touched_Bread	20
284	Hail_the_wombat	20
284	SaintJosie	20
284	avalan64	20
284	Kyrum2169	20
284	alderban107	20
292	ProbablyNick	19
292	Rich_Kat	19
292	intropass	19
292	mimbo1211	19
292	madderfall	19
292	Toriankel	19
292	_Mythic____	19
292	_Dri_	19
292	00000000-0000-0000-0009-01f80c5e9346	19
