rank	username	minecraft:mined/minecraft:netherrack
118	UltraZombie	24885
119	lizardfightclub	24749
120	SuperPooch06	24110
121	binman420	24035
122	LazySupport00	23932
123	FishyBoy3811	23845
124	Strangemonkey71	23838
125	Jimb0nat0r	23773
126	Nycteus_	23635
127	Racengan	23331
128	ToastedGamingYT	23317
129	Mahoose	23211
130	AuroraSkies	22847
131	Sleek_Storm_721	22593
132	Onennon	22474
133	GlitchyPlate810	22244
134	SyntheticSurgeon	22106
135	WyngGoy	22022
136	Shogunite	21886
137	SammiWolfGirl	21296
138	monky_irl	21272
139	RadarHz	21077
140	hm947	20628
141	Windo_licker	20487
142	AuroraValkyrie	20424
143	El_Jalapeno	20008
144	Arceus1975	19950
145	SkateboardR6	19675
146	TechnoNinja64	19659
147	DarlaMeow	19656
148	Kowcio_	18748
149	wwwwinnebagoooo	18732
150	_Razar	18590
151	Awyrlas	18566
152	xPixelRainx	18483
153	Maenara	18453
154	BobDeBouwer1337	18379
155	Cowison	18131
156	Aryamanee	18104
157	DanTheBuilderino	18016
158	MSK__	17680
159	SquadMonster	17601
160	FirsTimeGamingTV	17502
161	MilleGrug	17492
162	__TheNorseMan__	17226
163	Lord_Jord	16888
164	NoChumpChange	16698
165	MissCeleste7	16548
166	RyuNeko932000	16319
167	littlesophiagirl	15842
168	Covalents	15680
169	_Nuf	15644
170	Groundler	15462
171	anbbang	15426
172	TAKrules	15317
173	gabriels543	15194
174	_Karmaa	15148
174	diggydog67	15148
176	IdeallyGrey	14959
177	Zaridey	14943
178	Skippeh	14839
179	Eczbek	14788
180	Kkanot	14766
181	Erased_Identity	14758
182	CruncyIsTaken	14747
183	ShedJr_	14704
184	Kubeusz2010	14566
185	ProfessorDiaper	14432
186	fffMike	14360
187	djancak	14264
188	CliffEmAll	14137
189	ROY4LE	14058
190	MyNameIsDakar	13819
191	Drlzyy	13611
192	Akoot_	13543
193	TheEnderman548	13344
194	Deathkob	13171
195	jushykins	13112
196	__tomato	13067
197	ApophisNova	13034
197	MyNamaSheff	13034
199	I_Am_Mushkin	13000
200	Wowful	12728
201	Bandito_Roamer	12525
202	4774	12489
203	h2p_emrld	12465
204	Chromary	12319
205	Nicserso	12295
206	pumpfonzo	12211
207	Zoeyfortnite	12093
208	12Magner05	11942
209	Ssor69	11895
210	chipklip	11888
211	NameGenerat0r	11879
212	EcksDofficial	11867
213	Ryker	11860
214	lcvezra	11622
215	SaucyDark	11597
216	Historical_Sand	11595
217	vandmanden	11445
218	yulgur1	11430
219	Kekoo	11408
220	stavgod	11362
221	Scathra	11309
222	egglapras	11292
223	Gab4101	11212
224	jnp_gaming	11209
225	Krasnal1337	11164
226	The_slideV3	10974
227	loveseeker	10954
228	remmisrat	10933
229	prizm_	10906
230	shrimp_flips	10878
231	JohnnyFyes	10711
232	JayToe	10612
233	Flores991	10602
234	Killercatty78	10543
235	Vorlice	10459
236	EMC_	10260
237	XboxPanda	10223
238	HesDemonPants	10119
239	himak1	10106
240	Steelynan	10072
241	tartanboy	9706
242	Da_Boss_Rani	9659
243	Blu3beast	9585
244	DarkS0L	9572
245	Mewar	9386
246	ogoa	9255
247	gaziter10	9168
248	2blox	9057
249	bloodbiter	8925
250	groofles	8912
251	The_Fulgurator	8824
252	WET_WET_WET	8791
253	mexicancharlie	8620
254	Luigipunch989	8531
255	coobert42	8518
256	AlexxO_o	8317
257	AlphaWolfPlaysMC	8108
258	MangoTheFish	8102
259	SellyZ	8037
260	Xclax101	7791
261	audiocracked	7739
262	YoshikageBites	7685
263	stellarjay	7659
264	Vizzoid	7406
265	KnightmareD	7368
266	Nagasaki_Riku	7354
267	Hpdinosaur	7334
268	CoffeeNoir	7269
269	Cocoamallows	7252
270	TheDankPlatypus	7243
271	CollinMH06	7242
272	mimbo1211	7234
273	Leyna3	6926
274	Jij0	6815
275	Franco093	6763
276	calamariclam_I	6747
277	DemTechAlpha	6712
278	AssFullaCum	6704
279	RoskobiOne	6694
280	_Dean_123	6667
281	Warlord324	6458
282	oxfordschool	6413
283	ooga47	6267
284	cwartzo	6215
285	ayamefag	6211
286	TooManyDuck	6209
287	Drewen24	6105
288	CharlieButt	6025
289	SteveWithClout	6009
290	MovingFish7	5954
291	Kouridragon	5930
292	mariominejedi	5929
293	GravitySaint	5928
294	Kamflame10	5891
295	SSytex_X	5809
296	Hoxy	5793
297	Ze_BaronKrigler	5762
298	LotusProject	5731
299	EngagedGrub41	5689
300	ccwildfire1	5650
