rank	username	minecraft:mined/minecraft:oak_trapdoor
248	TheMaster972	14
248	jacxhadow	14
248	catandmoose	14
248	xxPipperDipperxx	14
248	r123moore	14
248	NoxxxxiS	14
248	XboxPanda	14
248	SolarKar	14
248	parodypatient	14
248	AlphaWolfPlaysMC	14
248	EdGalbraith	14
248	Fuhrer_Teemo	14
248	Slapface522	14
248	little_dUki	14
248	The_SlideV5	14
265	Ssor69	13
265	royal_2	13
265	Blammm	13
265	ROY4LE	13
265	olliebollie48	13
265	Samificator	13
265	claivin	13
265	mihimihimihi	13
265	Cocoamallows	13
265	Haadrada	13
265	remmisrat	13
276	teslawolf38	12
276	ewsophie	12
276	T045RTY	12
276	UncreativeArtist	12
276	NotMeanttoChange	12
276	Chromary	12
276	LordZacler	12
276	Skylord_Luke	12
276	Lord_Zacler	12
276	Shogunite	12
276	creatineshakes	12
276	Warlord324	12
288	picardred	11
288	Jakobo1337	11
288	TheDiamondCG	11
288	andy_rex	11
288	MonitorLizards	11
288	wezzzi	11
288	natajimi	11
288	IAmTheWalrus910	11
288	miramyu	11
288	JasmineGK	11
288	calamariclam_I	11
299	Apollo_993	10
299	EKUG	10
