rank	username	minecraft:mined/minecraft:observer
145	EfficientC52	28
145	Hisiste	28
145	__tomato	28
153	NotP0tato	27
153	Blackberry1310	27
153	CharlieButt	27
153	KnightmareD	27
153	lillips	27
153	Skippeh	27
159	The_Thund	26
159	Rich_Kat	26
161	Kowcio_	25
161	Dreamdbr14	25
161	Winston_Ingram	25
164	Comma__	24
164	NotMeanttoChange	24
164	Maenara	24
164	Nicserso	24
168	teslawolf38	23
168	SteveCraftBlocks	23
168	Marbz_	23
168	_Boipl_	23
168	lordpipe	23
173	fred870d	22
173	Barlycorn	22
175	BumbleBeever	21
176	JEWISHBadenBeele	20
176	SoftSix	20
176	Rebytre	20
176	Fildyr	20
180	Tobinator_007	19
180	Valoth	19
180	M_Patata	19
180	MyNameIsJobo	19
180	lizardfightclub	19
180	JayToe	19
186	dabloons	18
186	Drlzyy	18
186	noodlepack	18
186	slkiey	18
186	mwrty	18
186	ayqq	18
186	gabriels543	18
186	SlayerCrypto	18
186	Leyna3	18
186	voiding_	18
196	XboxPanda	16
196	Rumpletaezer	16
196	_8man	16
196	Voxin2K	16
196	Rasmanden	16
196	bruh072	16
202	Euclidoris	15
203	Ailmast	14
203	ayamefag	14
205	DScatgirls	13
205	Fuhrer_Teemo	13
205	Wanjibon	13
208	dopplexd	12
208	Guillemet	12
210	carloselpapii	11
210	ItsAki_	11
210	MasterNueve	11
210	stavgod	11
210	K_a__a_n	11
215	abramgray	10
215	Incinere	10
215	H72l9w	10
215	Vizzoid	10
215	Motsaro	10
215	RobotMinion101	10
215	Factoroni	10
215	kinas45y5	10
223	Bruh77	9
223	Cowison	9
223	AshleeCW	9
223	AngalexikCZ	9
223	Giannism	9
223	Zythose	9
223	claivin	9
223	SingedBread	9
223	Jij0	9
223	Kubeusz2010	9
233	TAKrules	8
233	Jackster03	8
233	Malorn_Aetherius	8
233	Ripleey	8
233	CrateOfBoxes	8
233	Strangemonkey71	8
233	Kyrum2169	8
233	BlankityMcBlank	8
233	CalebDHawk	8
242	TheSecondLord	7
242	SharpDev	7
242	theonlymagikarp	7
242	audiocracked	7
242	anbbang	7
242	smogfrog	7
242	HesDemonPants	7
242	MeetTheWollo	7
250	diamondgolem35	6
250	Hpdinosaur	6
250	ivorico	6
250	301851	6
250	oreee	6
250	TheThomas69	6
250	Scathra	6
250	John6970	6
250	Lutres_Torane	6
250	GravitySaint	6
250	Eraxa	6
261	Crowvens	5
261	DepressedCubic	5
261	I_Am_Mushkin	5
261	irregularshed	5
261	Notta	5
261	BronkerBrum	5
261	epiksk8erduck	5
261	KeruNatsema	5
261	_Bguette_	5
261	rotten_mango	5
261	Steven1282598	5
261	ProfessorDiaper	5
261	Airem_Core	5
261	Xovalt_	5
261	TheOuterCore	5
261	trexgb	5
261	Kateesaur	5
278	_NieToksikpl_	4
278	SaucyDark	4
278	picardred	4
278	_Dean_123	4
278	r123moore	4
278	Winklepicker279	4
278	KliBeast21	4
278	SammiWolfGirl	4
278	_TCARREIRA_	4
287	Louiis123	3
287	Yatitay	3
287	Houstonion	3
287	ColeSnyder	3
287	ExtraDumb	3
287	ofekgo	3
287	jimintyy	3
287	LoboTheLobster	3
287	jushykins	3
287	ThePoliteG	3
287	Ardennes	3
287	egglapras	3
287	CollinMH06	3
287	loveseeker	3
