rank	username	minecraft:mined/minecraft:red_shulker_box
124	eviltunix	54
124	shadowthemonkey	54
124	Airem_Core	54
124	Dreamdbr14	54
124	EngagedGrub41	54
124	camando92	54
130	xxPipperDipperxx	53
130	TheTrueClipse	53
130	Nycteus_	53
130	Dogcorn69420	53
130	bladeefan2009	53
135	GlitchyPlate810	51
136	_Virify_	50
136	prizm_	50
136	Kijiki	50
139	PhantomsGhost_	49
139	TheShyPig	49
139	lillips	49
139	weabis	49
143	ProfessorBee	48
144	k_ce	47
144	jessewegottacook	47
144	Auseawesome	47
144	stellarjay	47
144	SammiWolfGirl	47
149	_Nuf	46
149	Hisiste	46
151	EMC_	45
151	bloodbiter	45
151	h2p_emrld	45
154	Frozil20	44
154	Legendosh	44
156	ssleepless	43
157	Werbe	39
158	Da_Boss_Rani	38
158	ZeroKraken	38
160	12Magner05	37
160	MangoTheFish	37
160	TheWildMateo	37
160	Jamstroxian	37
164	hanaryheatwave	36
164	CuzIm2Kev	36
164	DarlaMeow	36
167	fr0stss	34
168	Marbz_	33
168	dartwaffle	33
168	_Karmaa	33
168	Hermanni__	33
172	Rich_Kat	32
172	whoaluv	32
172	UCP_TheKingK	32
175	SpaceGrenadier	31
175	drunkeeez	31
175	ThisUserIsStump	31
178	MinttyFressh	30
178	Sral7	30
180	CadenSteele	29
180	Lukeee33	29
180	groofles	29
180	StinkyDiplomat	29
184	BartekB19	28
184	Razzgriz	28
184	Sheldor097	28
184	Njensen7	28
188	SkateboardR6	27
188	RadarHz	27
190	FazeObama69	26
190	1442	26
190	monky_irl	26
190	IdeallyGrey	26
190	MineMaster0012	26
190	Soplight	26
196	ZaneABrain	25
196	Arteriana	25
196	DTwenty	25
196	WyngGoy	25
196	lcvezra	25
196	fffMike	25
202	soundad	24
202	_Dean_123	24
202	_Bguette_	24
202	brofrickcheaters	24
202	_TCARREIRA_	24
207	Apollo_993	23
207	OffWithTheirHead	23
207	Mythic1130	23
210	ThiccExotic	22
210	shyshyannne	22
210	Warlord324	22
213	ZA07	21
214	Zaridey	20
214	mariominejedi	20
214	pappaberg	20
214	KartivGal	20
214	Bloo2406	20
214	07shiny	20
214	little_dUki	20
221	ShedJr_	19
221	FishyBoy3811	19
221	Jiminbub	19
221	Nicserso	19
225	dimondking777	18
225	Covalents	18
225	ApophisNova	18
225	bearlystraight	18
225	Ender_Souls	18
225	Xclax101	18
225	jcool7	18
225	MyNamaSheff	18
225	JayToe	18
234	Di_infiri	17
234	Rumpletaezer	17
234	Mr_Sun15	17
234	Elastiq	17
234	fw3xywashere	17
234	tsitrawhy	17
234	KingMatthew506	17
241	Myszoaz	16
241	Scathra	16
241	PigDab	16
241	SvenskaAlvar	16
241	Shogunite	16
241	IAmTheWalrus910	16
241	Quotary	16
248	Euclidoris	15
248	Truckoss	15
248	laron58	15
248	vandmanden	15
252	AuroraValkyrie	14
252	TAKrules	14
252	FirsTimeGamingTV	14
252	Kondzik2008	14
252	Cr1mzonYT	14
252	Vetral1	14
252	GooseWithin	14
252	audiocracked	14
252	fluddd	14
252	ElKaySVK	14
252	Iamthejo	14
252	AltnumberF4	14
264	Mr_Byzantine	13
264	SteveCraftBlocks	13
264	SellyZ	13
264	SeverianTheLame	13
264	Rebytre	13
264	xolstoi	13
270	T045RTY	12
270	titanlax	12
270	MattieHD	12
270	surfinggiraffejp	12
270	Winklepicker279	12
270	GoofySilly	12
270	Biites	12
277	Lepthymo	11
277	Not_Insom	11
279	ProbablyNick	10
279	TooManyDuck	10
279	catandmoose	10
279	Tjhodskins19	10
279	Wowful	10
279	Typadopoulos	10
285	PazinGaming	9
285	Prodiginus	9
285	masskedman	9
285	iSammael	9
285	ElectricDragon81	9
285	CattSoup	9
291	RosaDoesMC	8
291	Ryker	8
291	nocturne78	8
291	mattybeewrapss	8
291	emrekn	8
296	chipklip	7
296	SmashingPump	7
296	hm947	7
296	CyrusIsTired	7
296	Itz_DuongVN	7
