rank	username	minecraft:mined/minecraft:spruce_wall_sign
112	ARandomHedge	17
112	SuperPooch06	17
112	SirPiccardo	17
112	Rebytre	17
112	seramalen	17
112	PigDab	17
112	DarlaMeow	17
121	ApophisNova	16
121	The_Cruncy	16
121	IamCL4SSY	16
121	StinkyDiplomat	16
121	Lord_Doob	16
121	MyNamaSheff	16
127	ECstardust	15
127	Prismyst	15
127	Jimi7hits	15
127	_Mythic____	15
127	_TCARREIRA_	15
127	ConnorDanky_	15
133	ChosenBruh	14
133	xxPipperDipperxx	14
133	Covalents	14
133	HyperCave	14
133	Fuad_R	14
133	_Meow_Mix	14
133	ediballbearings	14
140	Werbe	13
140	ewpunk	13
140	hdtpm	13
140	fffMike	13
140	Powowowow	13
145	soundad	12
145	SaucyDark	12
145	Deathkob	12
145	Honor555	12
145	KingMatthew506	12
150	k_ce	11
150	MuffinManzz	11
150	squigglybones	11
150	EMC_	11
150	hm947	11
150	bloodbiter	11
150	SteveCraftBlocks	11
150	legal_tax_evader	11
150	RobotMinion101	11
150	SingedBread	11
150	__tomato	11
150	Celeste_121	11
162	Mr_Byzantine	10
162	Harotio	10
162	RoskobiOne	10
162	Huwulling	10
162	jessewegottacook	10
162	NotMeanttoChange	10
162	Deerfoot	10
162	MAns_44	10
162	MustardSquid	10
162	anbbang	10
162	2blox_	10
173	jspwn	9
173	TooManyDuck	9
173	tuckerdoodle	9
173	R0cketmanstan	9
173	buss081	9
173	ShedJr_	9
173	gcaisawesome	9
173	KartivGal	9
173	Dragonlfw	9
173	Akoot_	9
173	Fakiuss	9
173	Inbefour	9
173	Blaiku	9
173	Njensen7	9
173	The_SlideV5	9
173	camando92	9
173	Jordan_R	9
190	Groovy_MoonBird	8
190	_stets	8
190	Alteriity	8
190	Ssor69	8
190	titanlax	8
190	Malorn_Aetherius	8
190	slkiey	8
190	Paintz	8
190	noam464	8
190	UncleDanDan	8
190	fallingemma	8
190	burbankbuilder28	8
190	jambvds	8
190	Soul_Atreus	8
190	brofrickcheaters	8
190	HesDemonPants	8
190	MirielThePastor	8
190	Zoeyfortnite	8
208	Crowvens	7
208	SmashingPump	7
208	Yatitay	7
208	Tolhart	7
208	MattieHD	7
208	Eraza	7
208	Malware_Mara	7
208	Eczbox	7
208	kars0n	7
208	GooseWithin	7
208	LeonelSalamanca	7
208	NomadicRobin_	7
208	_Karmaa	7
208	RedcatVII	7
208	SpacesickPrism	7
208	Eczbek	7
208	jnp_gaming	7
225	NatalieTW	6
225	CLG_Kata	6
225	shdesolt	6
225	Jakobo1337	6
225	ProfessorBee	6
225	Xalithia	6
225	Armattillo	6
225	Rocco_Lane	6
225	groofles	6
225	420BreadLizard	6
225	FlashMigma	6
225	CheifJumbo	6
225	Iamthejo	6
225	BreadBacon	6
225	JayToe	6
240	Lukeee33	5
240	fr0stss	5
240	roxycherry	5
240	redikul	5
240	Cambo5000	5
240	UncreativeArtist	5
240	surfinggiraffejp	5
240	Septemb3r	5
240	Patwannabegamer	5
240	RocketRidge	5
240	yheece	5
240	SlayerCrypto	5
240	vampgey	5
240	JETrotter	5
240	SaintJosie	5
240	parodypatient	5
240	LexMakesHistory	5
240	ReflexCode	5
240	Matorz	5
240	MakeHistory157	5
240	sadvavilloso	5
240	yatsuta	5
240	UCP_TheKingK	5
240	Fizznut909	5
240	PortlyPete69	5
240	jcool7	5
240	Hermanni__	5
240	alderban107	5
240	VentiHilton	5
240	Quotary	5
240	scarletwarrior1	5
240	Kiki_Majiki	5
240	h2p_emrld	5
273	Jovaphobic	4
273	ItsColin11	4
273	nattybears	4
273	Jahara	4
273	T045RTY	4
273	CoffeeNoir	4
273	MoistMicrowave	4
273	tsohomie	4
273	jushykins	4
273	Awyrlas	4
273	orxngejuice	4
273	LeauVox4921	4
273	SpicyMeatballs	4
273	BarrettPrivateer	4
273	Aneurysmas	4
273	whoaluv	4
273	hanaryheatwave	4
273	Zythose	4
273	Krowuss	4
273	The11thDoctor	4
273	ougstur	4
273	FishyBoy3811	4
273	Maenara	4
273	fw3xy74	4
273	master9067	4
273	BigCronkin	4
273	lolpoottoot	4
273	Sheldor097	4
