rank	username	minecraft:mined/minecraft:jungle_log
94	Incinere	494
95	thewindmillman	479
96	Akoot_	476
97	ConnorDanky_	464
98	Jakobo1337	456
99	ShedJr_	446
100	Lez_	444
100	benediktine1	444
102	RebelAndroid	442
103	T045RTY	434
103	FreakGenius	434
105	eitanzaki	426
106	ImpavidArcher	409
107	Barlycorn	403
108	Groovy_MoonBird	397
109	Notta	390
110	Kim_Jong_eel	381
111	tuckerdoodle	377
112	Groundler	368
113	HELLO_I_AM_BEAR	364
114	Aezekial	356
115	coobert42	349
116	OfficerAnvil	344
117	Di_infiri	335
118	CollinMH06	331
119	calamariclam_I	326
120	zemey	322
121	Inbefour	316
122	SpacesickPrism	307
123	OffWithTheirHead	305
124	Rumpletaezer	296
125	Lekol	295
126	Blaiku	294
127	_Hayt	292
128	Arceus1975	282
129	Stiar	274
129	Skippeh	274
131	Mahoose	271
132	ApophisNova	270
132	MyNamaSheff	270
134	Comma__	269
135	Frozil20	268
136	livingdaydreams	264
137	Nicserso	252
138	jnp_gaming	250
139	_Dean_123	242
140	jessemgaming	241
141	MrKrabOnCoke	240
142	Jonte0599	235
143	KarlKaek	233
144	mihimihimihi	232
145	12Magner05	231
145	Kakolbus	231
147	Jimb0nat0r	229
148	thescout7	228
149	Lukeee33	224
150	Racengan	221
151	H72l9w	220
151	LeeMcGee30	220
153	KASAN420	219
154	Swexti	215
155	GoofySilly	214
156	lordpipe	212
157	KlausVonStiglitz	211
157	MineMaster0012	211
159	legal_tax_evader	210
160	Touched_Bread	206
161	set67	205
162	anbbang	200
163	Toriankel	199
164	Yirtle	196
164	THEKINGLyric10	196
166	AlexxO_o	191
166	Lord_Jord	191
168	ITDV	183
169	Moofyman	178
170	JESS_THE_RERE	173
171	AlphaWolfPlaysMC	172
172	sp00ky_ghost977	171
173	Fuad_R	168
174	RobotMinion101	164
174	LilLizardWizard	164
176	F_Uhre	163
177	binman420	162
177	MAns_44	162
179	Legendosh	159
180	corvidpartyfor6	157
181	SaintJosie	156
182	WhyTho_1	155
183	mobunni	152
184	RoskobiOne	151
185	Bazongoman	149
186	hollowww	148
187	Bumpy419	145
188	wateo	144
189	Tyrannosplart	142
189	SammiWolfGirl	142
191	fade_emerge78823	138
191	Kukkelikuk	138
193	_Nuf	135
193	ooga47	135
195	07shiny	130
196	ARandomHedge	127
197	Fullut	124
197	Eraza	124
197	Dabatha	124
200	Elastiq	123
200	Deerfoot	123
202	wwwwinnebagoooo	121
203	gcaisawesome	119
204	InfernalMound	118
205	Da_Boss_Rani	116
205	ElectricDragon81	116
207	Hpdinosaur	113
207	striker90333	113
209	Afinnity	112
210	ZA07	111
211	peachfuzz1267	108
212	EcksD	107
213	CryoInferno_	105
214	TheSeismicDuck	102
215	ProfessorBee	99
216	breadbowlgamer	94
216	Kura2218	94
218	yatsuta	93
219	GlitchyPlate810	91
220	Azmodan_246	90
220	Vetral1	90
222	_Crimson_Legate	88
223	DarlaMeow	84
224	djancak	82
225	SeverianTheLame	81
226	Harotio	79
226	Azorathum	79
226	Optiprimus	79
229	Cocoamallows	76
230	CarryLine	74
230	Aryamanee	74
232	Chayula	72
233	TheWildMateo	71
234	SmashingPump	69
235	epiksk8erduck	68
236	m_be9	67
237	Esme_1	65
237	xxPipperDipperxx	65
237	Wowful	65
240	excelsionprime	63
240	ThePurpleFire	63
240	Maenara	63
243	Covalents	57
244	Blu3beast	56
245	Zythose	55
245	Ezekson	55
247	AJplaysMC_	54
248	yulgur1	53
249	_Virify_	52
249	Cats_Fly	52
251	TableTim	50
251	KeruNatsema	50
253	fkGrim	49
254	Sleepy_Time_	48
254	natajimi	48
256	babycamm	47
256	xolstoi	47
258	00000000-0000-0000-0009-01ff0c3e5e4f	46
259	Ssor69	45
259	NotMeowMix	45
261	PortlyPete69	44
262	Mowelan	43
263	nocturne78	42
263	AnnieBathory	42
265	MLG_Kirby69	41
266	Secret_Canary	40
266	LordSpeed37	40
268	capn__crunch	39
269	Inchef	38
269	Useless_Relic	38
269	The_slideV3	38
269	Soul_Atreus	38
269	underscore_2	38
274	Huwulling	36
275	dudcreeper	35
276	soundad	34
276	KingEgg1	34
276	eiC_	34
279	Hisiste	32
279	non089	32
281	seramalen	31
281	ItsJunoIGuess	31
283	boog4loo	30
283	M_Patata	30
283	LargeCarl	30
283	MasterNueve	30
283	MustardSquid	30
288	msJabberwock	29
289	drunkeeez	28
289	bearlystraight	28
289	Slovitypagus	28
292	Felenov	27
293	Smashic	25
293	TylerDupree	25
295	Russiancat1	24
295	Dusk_95	24
297	LexMakesHistory	23
297	MakeHistory157	23
297	Quotary	23
300	diamondgolem35	22
