rank	username	minecraft:mined/minecraft:stone_stairs
132	DermeinUser	19
135	dabloons	18
135	eitanzaki	18
135	SpaceGrenadier	18
135	CarltheCuck	18
135	CACTUSLAD	18
140	PhantomsGhost_	17
140	GravitySaint	17
140	Soffbord	17
140	Nargotah	17
144	SyK7	16
144	_NieToksikpl_	16
144	RobotMinion101	16
144	Fizznut909	16
148	seramalen	15
148	Akoot_	15
148	ogoa	15
148	Blaiku	15
148	jcool7	15
153	Groovy_MoonBird	14
153	NotMeanttoChange	14
153	2Stout	14
153	Hiryu27	14
153	Kouridragon	14
153	valkam13	14
153	SingedBread	14
153	RadarHz	14
161	_Dean_123	13
161	Jackattack53	13
161	Bumpy419	13
161	Frozil12	13
161	MasterNueve	13
161	MakeHistory157	13
167	Ardennes	12
167	DarkDescent2392	12
167	jewbacaman	12
170	6king6colt6	11
170	PegLegPete93	11
170	Noah_Bez	11
173	Sleek_Storm_721	10
173	ProfessorBee	10
173	wiqor	10
173	Kakolbus	10
173	ooga47	10
173	KeruNatsema	10
173	FishyBoy3811	10
173	geekbird	10
173	SvenskaHugo	10
173	CalebDHawk	10
173	Sheldor097	10
173	Skippeh	10
173	Powowowow	10
186	StylesK	9
186	CollinMH06	9
186	420BreadLizard	9
186	Conrad139	9
186	cichy096	9
191	Incinere	8
191	jimintyy	8
191	bloodbiter	8
191	NotKaden_	8
191	Avrelion	8
191	Nyxiom_	8
191	Mattesco	8
191	Genius4Hire	8
191	Lutres_Torane	8
191	Xclax101	8
191	the__Reaper4999	8
191	Luigipunch989	8
191	MilleGrug	8
204	LordlessAbyss	7
204	BlancoFlaco	7
204	Meme25327	7
204	mwrty	7
204	_Cloverbelle_	7
204	wobn	7
204	Quaintster	7
204	Steven1282598	7
204	carbo_bro	7
204	Hermanni__	7
204	smogfrog	7
204	Freedrik	7
216	jspwn	6
216	Ailmast	6
216	TildaAndrea	6
216	heckface	6
216	loveseeker	6
216	chipklip	6
216	Cyntrical	6
216	sp00ky_ghost977	6
216	PortlyPete69	6
225	Drlzyy	5
225	Barjas	5
225	H72l9w	5
225	12Magner05	5
225	CrookedKaptain	5
225	r123moore	5
225	andy_rex	5
225	AlphaWolfPlaysMC	5
225	ElderRifken	5
225	Groundler	5
225	SexcMf	5
225	IdeallyGrey	5
225	oxfordschool	5
225	WYFYoyo	5
225	Teebone15	5
225	561cool	5
241	fingerguns__	4
241	xyct	4
241	Euclidoris	4
241	Megarboh	4
241	CarbonatedCola	4
241	Xalithia	4
241	FetteMutter	4
241	_8man	4
241	iTurbo	4
241	LibertyMutual	4
241	LordBlaze11	4
241	robotemo	4
241	obzii	4
241	KingMatthew506	4
255	Cowison	3
255	fr0stss	3
255	IWorkAtIkea	3
255	tramizu	3
255	Mimiir345	3
255	Sparky_KT	3
255	Kkanot	3
255	fallingemma	3
255	thewindmillman	3
255	RohnJosin	3
255	CruncyIsTaken	3
255	fred870d	3
255	Wowful	3
255	DizzleJay311	3
255	audiocracked	3
255	Ze_BaronKrigler	3
255	SammiWolfGirl	3
255	mawileite	3
255	alderban107	3
255	Sral7	3
255	The_SlideV5	3
276	seanitoo	2
276	BigBootyHudge	2
276	AshleeCW	2
276	TheMilkerOfCats	2
276	Natty	2
276	TinMaster	2
276	Allanon1235	2
276	TheHarryMeister	2
276	Ecplosive	2
276	NotSoJamie	2
276	Voxin2K	2
276	selectrix	2
276	Leyna3	2
276	ese_wn_po	2
276	Bloo2406	2
276	Airem_Core	2
276	Smiguli_	2
276	PabloGonza02	2
276	Kijiki	2
276	starbits140	2
276	stahouo	2
276	annoyingenderman	2
276	Njensen7	2
276	potatocan	2
300	wickedword	1
