rank	username	minecraft:mined/minecraft:shulker_box
253	MustaLoordi	143
254	RobotMinion101	142
255	weabis	139
256	_Dean_123	138
257	laron58	137
258	ZaneABrain	136
258	TheEnderMan548	136
260	SyntheticSurgeon	135
261	PegLegPete93	133
261	ougstur	133
263	TheDankPlatypus	131
263	Dogcorn69420	131
265	zToasty69z	128
266	KarlKaek	127
267	Z3braYTIL	126
268	Kubelz	125
269	jushykins	124
269	xolstoi	124
271	ReSynced	122
272	Hpdinosaur	121
272	Elastiq	121
274	1442	120
275	hcb238	119
275	StinkyDiplomat	119
277	imcombxt	118
278	ExtraDumb	117
279	__TheNorseMan__	116
280	Vorlice	114
281	RatatJuice	113
281	FirsTimeGamingTV	113
281	heckface	113
281	Nicky_H225	113
281	Winklepicker279	113
286	BPTY4618	112
286	Merv__	112
286	Wowful	112
286	Airem_Core	112
290	Lepthymo	110
291	PaperCanvas	108
291	brofrickcheaters	108
293	wezzzi	107
294	audiocracked	105
294	ZeroKraken	105
296	SvenskaAlvar	104
297	DarkS0L	103
298	KGTV	102
299	Chickenchaser2	100
299	BronkerBrum	100
