rank	username	minecraft:mined/minecraft:oak_log
142	kekhon	1768
143	Historical_Sand	1722
144	Rebytre	1705
145	SammiWolfGirl	1697
146	ZeroAbyssTTV	1694
147	AlphaWolfPlaysMC	1674
148	Fullut	1657
149	lcvezra	1651
150	youhjjhhhjj	1648
151	BlancoFlaco	1637
152	IWorkAtIkea	1636
153	claivin	1627
154	Marbz_	1605
155	Archsam	1599
156	Lutres_	1574
157	TheDankPlatypus	1558
158	Sleepy_Time_	1557
159	07shiny	1550
160	Avocadogerms	1547
161	Megarboh	1546
162	Burge_r	1515
163	ougstur	1511
164	Ssor69	1498
165	fkGrim	1493
166	Katsuragi0243218	1490
167	GingerNeutron	1484
168	WET_WET_WET	1483
169	masskedman	1477
170	Njensen7	1475
171	Jovaphobic	1467
172	_i_ERROR_i_	1448
173	Sheldor097	1443
174	jnp_gaming	1434
175	DanielMmm	1431
176	SDMNAEK	1425
176	Kyrum2169	1425
178	mwrty	1421
179	Groundler	1399
180	ogoa	1391
181	zToasty69z	1388
182	Quaintster	1356
183	Sral7	1347
184	cheerytomato	1343
185	Zaridey	1341
186	MilleGrug	1339
187	Skippeh	1332
188	Syropatathe	1328
189	CarltheCuck	1320
190	UMosDiesIrae	1285
191	OG_Songsee	1282
192	ssleepless	1280
193	ooga47	1275
194	_Nuf	1264
195	tompup	1262
196	livingdaydreams	1249
197	toj__	1227
198	Jimi7hits	1226
198	00000000-0000-0000-0009-01ff0c3e5e4f	1226
200	parodypatient	1225
201	fade_emerge78823	1217
202	fr0stss	1214
203	Rumpletaezer	1192
204	ewsophie	1176
204	Quincannon	1176
206	Luigipunch989	1167
207	Nycteus_	1165
208	Arceus1975	1162
209	Iagoku	1161
210	MattieHD	1158
211	stavgod	1154
212	ReyTheLegend	1151
213	Krowuss	1138
214	ProfessorDiaper	1134
215	The11thDoctor	1132
216	RadarHz	1123
217	Zythose	1113
218	Vizzoid	1112
219	tsitrawhy	1101
220	sp00ky_ghost977	1095
221	xzvu	1091
222	NieToksikpl	1086
223	Euclidoris	1079
224	Soap_Bender	1072
225	YairZaki	1060
226	TheFlfthHorseman	1050
227	xxPipperDipperxx	1044
228	CattSoup	1040
229	AuroraValkyrie	1038
230	teslawolf38	1037
230	Kateesaur	1037
232	The_slideV3	1034
233	ImpavidArcher	1033
234	Matemax	1028
235	Ozixar	1024
236	jacxhadow	1016
236	Zoeyfortnite	1016
236	MadmanRaven	1016
239	benediktine1	1013
240	thewindmillman	1008
241	SkateboardR6	1006
242	PuFY	1004
243	MineMaster0012	1003
244	Meatlaugh	1001
245	Wooptey	1000
246	Soplight	984
247	FishisTTV	968
248	Steve897	967
249	SteveCraftBlocks	958
250	Covalents	956
251	soundad	955
252	EfficientC52	951
253	cedric72	950
254	ZaneABrain	946
255	TableTim	945
256	ori0le	944
257	ehunt54	942
257	Kferno	942
259	AuroraSkies	939
260	Kijiki	922
261	ExtraDumb	918
262	wobn	912
263	MixerDixer	905
263	DarkS0L	905
265	Smaldo	881
265	2blox_	881
267	picardred	877
268	q_wq	876
268	Fuhrer_Teemo	876
270	AvaRosey	870
271	Teebone15	869
272	RobotMinion101	867
273	Kubeusz2010	860
274	T045RTY	855
275	ThePoliteG	844
276	groofles	834
277	Cryptacity	832
278	TheBiggestFeller	831
279	SlayerCrypto	825
280	Prodiginus	820
281	Elastiq	812
282	Powowowow	807
283	PegLegPete93	806
284	MustaLoordi	800
285	epiksk8erduck	799
286	Drewen24	798
287	OfficerAnvil	797
288	TheEnderMan548	789
289	DemTechAlpha	787
290	fenkuu	786
291	HeraclesOGU	781
292	FroggoTheDoggo	777
293	seanitoo	776
294	Shogunite	775
295	jewbacaman	774
296	SSytex_X	770
297	slkiey	767
298	bigstankyy	758
299	jaimshae	757
300	_8man	753
