rank	username	minecraft:mined/minecraft:acacia_log
280	IdeallyGrey	41
282	diamondgolem35	39
282	VirusUploaded	39
282	Factoroni	39
285	szczeepaan	38
285	AzBzCzDz	38
285	Frnjokl	38
288	Lukeee33	37
288	wrinkledpiglet	37
288	Fuhrer_Teemo	37
288	SammiWolfGirl	37
292	Matemaks2137	36
292	Batman922	36
292	561cool	36
295	numbra	35
295	Quotary	35
297	AJplaysMC_	34
297	Leonidas2k17	34
299	MeowMeowMcmuffin	33
299	mwrty	33
