rank	username	minecraft:picked_up/minecraft:stone
84	MilleGrug	59469
85	Jovaphobic	59373
86	Onennon	58763
87	lillips	58486
88	Chromary	57935
89	set67	57794
90	MasterNueve	57095
91	StinkyDiplomat	56666
92	Akoot_	54402
93	ApophisNova	54380
94	MyNamaSheff	54355
95	Groundler	52880
96	thescout7	51602
97	NameGenerat0r	50297
98	Hoid_the_Roamer	50059
99	MinttyFressh	49474
100	Fullut	49150
101	Huwulling	48790
102	SvenskaHugo	48516
103	Smashic	48106
104	Rumpletaezer	48040
105	Blu3beast	45907
106	WyngGoy	45819
107	Jimi7hits	45582
108	Bumpy419	45441
109	Soplight	43277
110	ssleepless	42920
111	ConnorDanky_	41661
112	jnp_gaming	41541
113	Swexti	41155
114	Fuhrer_Teemo	40350
115	Fuad_R	39881
116	SpaceGrenadier	39792
117	TheBananaKat	39781
118	TheThomas69	39605
119	Nicserso	39131
120	LeonelSalamanca	38732
121	Racengan	38080
122	TheSeismicDuck	37931
123	audiocracked	37507
124	rarrq	37296
125	MightyWertu	36937
126	ProfessorBee	36899
127	Winklepicker279	36802
128	Mr_Byzantine	36064
129	MoistMicrowave	35642
130	xolstoi	35603
131	livingdaydreams	35496
132	_Virify_	35454
133	himak1	35298
134	CoffeeNoir	35098
135	FelixPSY375	34405
136	TooManyDuck	32943
137	Eczbek	32828
138	KingMatthew506	32299
139	SammiWolfGirl	32203
140	Steve897	32057
141	xxPipperDipperxx	31995
142	Eraxa	31893
143	Soap_Bender	31318
144	claivin	30879
145	Deodorante	30783
146	6king6colt6	30603
147	r123moore	29741
148	j5ylim	29560
149	Alteriity	28919
150	Legendosh	28351
151	jcool7	28109
152	_Mythic____	27822
153	anbbang	27653
154	T045RTY	27634
155	Sral7	27455
156	mwrty	27117
157	Cocoamallows	27037
158	Franco093	26983
159	SmashingPump	26976
160	Ze1ig	26870
161	tuckerdoodle	26551
162	_Karmaa	26363
163	Scathra	26044
164	MakeHistory157	25782
165	DTwenty	25296
166	Zoeyfortnite	25128
167	groofles	24837
168	hanaryheatwave	24435
169	CalebDHawk	24236
170	Inbefour	23361
171	Eczbox	23322
172	ShedJr_	23302
173	Sheldor097	22736
174	Barlycorn	22514
175	mariominejedi	22486
176	emrekn	22187
177	ExtraDumb	21605
178	weabis	21566
179	NomadicRobin_	21329
180	SingedBread	21204
181	Merv__	20715
182	UCP_TheKingK	20492
183	PlzNoBM	20206
184	Elastiq	19625
185	fluddd	18786
186	CrateOfBoxes	18739
187	_stets	18710
188	The_slideV3	18305
189	ROY4LE	18211
190	Ssor69	17959
191	Xalithia	17917
192	Rocco_Lane	17705
193	hcb238	17599
194	fw3xy74	17590
195	RoskobiOne	17318
196	FishyBoy3811	17315
197	F_Uhre	17179
198	Crowman1	16894
199	Crowvens	16800
200	Xclax101	16622
201	ColeSnyder	16565
202	jessewegottacook	16447
203	vandmanden	16354
204	BronkerBrum	16205
205	Kura2218	16099
206	GooseWithin	15963
207	Rasmanden	15935
208	Vetral1	15833
209	PortlyPete69	15684
210	MattieHD	15445
211	07shiny	15380
212	Flores991	15255
213	Euclidoris	15237
214	El_Jalapeno	15126
215	_Dean_123	14707
216	prizm_	14700
217	SyntheticSurgeon	14543
218	eviltunix	14456
219	xzvu	14278
220	pappaberg	14212
221	catandmoose	13960
222	FishisTTV	13938
223	Vorlice	13847
224	little_dUki	13767
225	Erased_Identity	13727
226	Stynxy	13680
227	selectrix	13415
228	H72l9w	13403
229	k_ce	13360
230	Ailmast	13150
231	drumine	13011
232	corvidpartyfor6	13010
233	cog	13006
234	bearlystraight	12882
235	burbankbuilder28	12772
236	Powowowow	12723
237	KingEgg1	12656
238	TheTrueClipse	12578
239	_Meow_Mix	12488
240	Aezekial	12243
241	wwwwinnebagoooo	12217
242	MineMaster0012	12191
243	Iagoku	12151
244	abramgray	11992
245	IamCL4SSY	11942
246	PegLegPete93	11897
247	VentiHilton	11863
248	Leyna3	11691
249	Rebytre	11670
250	Zedducius	11559
251	SellyZ	11466
252	fkGrim	11418
253	ECstardust	11318
254	G1ldor	11315
255	Zaridey	11221
256	IvarEXE	11122
257	Comma__	11051
258	TheMiddayMoon	10900
259	Druid95	10712
260	BartekB19	10670
261	ITDV	10659
262	SexcMf	10509
263	UltraZombie	10356
264	Kubeusz2010	10352
265	MrExplorer	10338
266	Afinnity	10211
267	AuroraValkyrie	9968
268	Ryker	9841
269	MAns_44	9812
270	Hpdinosaur	9793
271	laron58	9717
272	AlexxO_o	9710
273	LeauVox4921	9698
274	Hamsanders	9554
275	Incinere	9238
276	DarlaMeow	9144
277	Solar_Power	9081
278	DaviusMaximoose	9010
279	StarCookiees_	8997
280	Eraza	8763
281	diggydog67	8725
282	SeverianOfUrth	8647
283	XboxPanda	8583
284	H0UNDFRMH3LL	8569
285	MissCeleste7	8517
286	PaperCanvas	8460
287	q_wq	8426
288	benediktine1	8405
289	Quincannon	8393
290	_TCARREIRA_	8385
291	KarlKaek	8343
292	theonlymagikarp	8118
293	_3Stump_	8093
294	UrbanPlanningEx	7954
295	walll	7940
296	ogoa	7834
297	KartivGal	7682
298	BodaciousCake	7663
299	Quaintster	7634
300	gaziter10	7462
