rank	username	minecraft:picked_up/minecraft:ink_sac
273	TheMaster972	31
273	eviltunix	31
273	_naturell	31
273	Zoeyfortnite	31
277	H72l9w	30
277	pappaberg	30
277	The_Fulgurator	30
280	thescout7	29
280	Sral7	29
282	rachcl	28
282	Paleshield	28
284	Jalvajar	27
284	heckface	27
284	paranoid_plant	27
287	The_Dark_One_00	26
287	The11thDoctor	26
287	smogfrog	26
287	UrbanPlanner1978	26
291	Luigipunch989	25
292	ssleepless	24
292	lotarp	24
292	CyrusIsTired	24
292	Spenduh	24
292	OfficerAnvil	24
297	Rich_Kat	23
297	King_Pancake1	23
297	wezzzi	23
300	Ardennes	22
