rank	username	minecraft:picked_up/minecraft:stonecutter
160	teslawolf38	6
160	Hyugo	6
160	Incinere	6
160	AlazelTheReal	6
160	SpaceGrenadier	6
160	ratglock	6
160	Guillemet	6
160	paranoid_plant	6
160	IforgotCS_Source	6
160	loveseeker	6
160	impossibleteapot	6
160	fred870d	6
160	DemTechAlpha	6
160	SingedBread	6
160	NotMeowMix	6
160	PortlyPete69	6
160	ZeroKraken	6
160	laron58	6
160	FelixPSY375	6
179	PhantomsGhost_	5
179	Wooptey	5
179	Euclidoris	5
179	_Dean_123	5
179	G1ldor	5
179	himak1	5
179	LotusProject	5
179	SellyZ	5
179	SHAOBADMAN	5
179	CollinMH06	5
179	LAVA129	5
179	Bumpy419	5
179	epiksk8erduck	5
179	Drewen24	5
179	ADEXTV	5
179	Wowful	5
179	bpmm	5
179	lillips	5
179	Lutres_Torane	5
179	Dusk_95	5
179	MakeHistory157	5
179	SvenskaHugo	5
179	Kijiki	5
179	starbits140	5
179	fffMike	5
179	_3Stump_	5
179	tartanboy	5
179	cichy096	5
179	h2p_emrld	5
208	MunkaKris	4
208	EMC_	4
208	KarlKaek	4
208	xXTheWolfmanXx	4
208	Tolhart	4
208	youhjjhhhjj	4
208	MSK__	4
208	eclipseboi	4
208	wiqor	4
208	set67	4
208	orxngejuice	4
208	Inchef	4
208	Diavri	4
208	whoaluv	4
208	SamZombie	4
208	RefluxRatio	4
208	MustardDrinker	4
208	Sky_light_KING	4
208	DizzleJay311	4
208	Fuhrer_Teemo	4
208	Toiton	4
208	LetsDoItLive	4
208	Optiprimus	4
208	pixelviolin	4
208	_TCARREIRA_	4
233	squigglybones	3
233	KingFaenor	3
233	I_Am_Mushkin	3
233	livingdaydreams	3
233	fr0stss	3
233	SquadMonster	3
233	Dakota100	3
233	Sparky_KT	3
233	lordsaladito	3
233	BilboBaggins23	3
233	Gingayy	3
233	Septemb3r	3
233	r123moore	3
233	SpicyMeatballs	3
233	benediktine1	3
233	John6970	3
233	killmeiamtraitor	3
233	NarwhalTaco	3
233	_Boipl_	3
233	Skylord_Luke	3
233	TTNG	3
233	Toasty_Tom	3
233	SpookyDraggin	3
233	420BreadLizard	3
233	valkam13	3
233	fkGrim	3
233	misomon	3
233	proxivitoid	3
233	Darkgon	3
233	JESS_THE_RERE	3
233	DarlaMeow	3
233	Soap_Bender	3
233	El_Jalapeno	3
233	cog	3
233	Kyrum2169	3
233	Moetis	3
233	Slapface522	3
233	Dogcorn69420	3
233	Njensen7	3
233	KingMatthew506	3
233	alderban107	3
233	erkada	3
233	AltnumberF4	3
276	SaltineDream	2
276	Krimys	2
276	Tobinator_007	2
276	dudcreeper	2
276	Ailmast	2
276	Houstonion	2
276	Frozt99	2
276	_Razar	2
276	Jahara	2
276	ZaneABrain	2
276	Base_Tempest	2
276	peach0s	2
276	Myrlewen	2
276	gaziter10	2
276	Alphanzt99	2
276	titanlax	2
276	MinttyFressh	2
276	crying_wolf_13	2
276	Z3braYTIL	2
276	eviltunix	2
276	TheDankPlatypus	2
276	TableTim	2
276	FennYuzuna	2
276	ChillenChiggen	2
276	AnnieBathory	2
