rank	username	minecraft:picked_up/minecraft:coal_block
199	wezzzi	19
202	ShedJr_	18
202	audiocracked	18
202	sufjanlover	18
202	Factoroni	18
202	__tomato	18
207	byFlixxx	17
208	CaptainDeadBread	16
208	Travka100	16
210	MinttyFressh	15
210	slkiey	15
210	loveseeker	15
210	SlayerCrypto	15
214	fanofbands101	14
214	bloodbiter	14
214	Z3braYTIL	14
214	faulder	14
214	RefluxRatio	14
214	PortlyPete69	14
214	Ezekson	14
221	lizardfightclub	13
221	hdtpm	13
223	SquadMonster	12
223	_Dean_123	12
223	RodSerlingCringe	12
226	SyK7	11
226	tobinwilliams	11
226	Maenara	11
229	Scathra	10
229	Hiryu27	10
229	Kferno	10
232	Hyugo	9
232	Nach0Bear	9
232	_8man	9
232	avalan64	9
232	balin55	9
237	BobDeBouwer1337	8
237	ElectricDragon81	8
237	SammiWolfGirl	8
240	Chazama	7
240	ADEXTV	7
240	MakeHistory157	7
240	underscore_2	7
240	laron58	7
245	AuroraValkyrie	6
245	Arceus1975	6
245	Mpkkiller	6
245	DAD_1996	6
245	_Bguette_	6
245	Karbl	6
245	Ze_BaronKrigler	6
245	Optiprimus	6
245	Skippeh	6
254	diamondgolem35	5
254	lOlmantschi	5
254	_Karmaa	5
257	aluminumhelmet	4
257	eiC_	4
257	Bolete	4
257	popcanter	4
257	chipklip	4
257	Dusk_95	4
257	IdeallyGrey	4
264	FirsTimeGamingTV	3
264	shyshyannne	3
264	Aiko_Kawashima	3
264	SpouHn	3
264	Razzgriz	3
264	smogfrog	3
264	remmisrat	3
271	Groovy_MoonBird	2
271	JEWISHBadenBeele	2
271	I_Am_Mushkin	2
271	dragonsleger	2
271	Meteora4	2
271	H72l9w	2
271	cowgirlkasia	2
271	PegLegPete93	2
271	XboxPanda	2
271	mimbo1211	2
271	Jackattack53	2
271	jedi_george	2
271	SuperPooch06	2
271	ApophisNova	2
271	CarryLine	2
271	Deodorante	2
271	DemTechAlpha	2
271	majlin16	2
271	MyNamaSheff	2
290	Froste131	1
290	Cowison	1
290	Paleshield	1
290	Whiterooster001	1
290	Malorn_Aetherius	1
290	GingerNeutron	1
290	Tmb1	1
290	Kubelz	1
290	moderncraft	1
290	MiningPie	1
290	Queen_Jalapeno	1
