rank	username	minecraft:picked_up/minecraft:sea_lantern
265	Pineapplesugr	31
265	milltesco	31
265	blackeemperor	31
265	WyngGoy	31
271	Myszoaz	30
271	Olib3ar	30
271	00000000-0000-0000-0009-01fe065167f0	30
274	Gregward_Smith	29
275	ShedJr_	28
275	lexrl_	28
275	TheWickedBird	28
278	Vetomo8000	26
279	BleachMyEyes	25
279	Breb74	25
281	Kkanot	24
281	Spenduh	24
281	Kubeusz2010	24
284	dudcreeper	23
284	Ssor69	23
284	gamerlord1324	23
284	Elastiq	23
284	djancak	23
289	Segotep999	22
290	lorpus	21
290	r123moore	21
290	h2p_emrld	21
293	Napoleonpancake	20
293	ratglock	20
293	xzvu	20
293	_TCARREIRA_	20
297	Tongon	19
297	whoaluv	19
297	Jiminbub	19
297	Kura2218	19
