rank	username	minecraft:picked_up/minecraft:lead
206	TooManyDuck	14
206	tramizu	14
206	Nicky_H225	14
206	Dali1465	14
206	ApophisNova	14
206	BRRRN179	14
206	Maenara	14
206	Airem_Core	14
206	Njensen7	14
206	MyNamaSheff	14
206	vandmanden	14
218	dudcreeper	13
218	DepressedCubic	13
218	Euclidoris	13
218	Comma__	13
218	mimbo1211	13
218	CrateOfBoxes	13
218	Deerfoot	13
225	Ilinca_Io	12
225	Barjas	12
225	Swexti	12
225	AnnieBathory	12
225	ClemenPine	12
225	MovingFish7	12
225	_Tilariel_	12
225	07shiny	12
233	teslawolf38	11
233	Tommhh	11
233	zorin123	11
233	Kouridragon	11
233	_Cloverbelle_	11
233	theofiel	11
233	FlashMigma	11
233	fluddd	11
233	561cool	11
242	diamondgolem35	10
242	Hpdinosaur	10
242	jacxhadow	10
242	himak1	10
242	eiC_	10
242	John6970	10
242	TheDankPlatypus	10
242	drompje	10
242	Skylord_Luke	10
242	Nicky19	10
242	Toiton	10
242	OG_Songsee	10
242	FelixPSY375	10
255	dabloons	9
255	pZygh0st	9
255	q_wq	9
255	Vizzoid	9
255	Prodiginus	9
255	Rumpletaezer	9
255	Exiko	9
255	DAD_1996	9
255	jewbacaman	9
255	Drewen24	9
255	Deodorante	9
255	Barlycorn	9
255	ediballbearings	9
255	fffMike	9
255	MeetTheWollo	9
255	Powowowow	9
255	WYFYoyo	9
272	Furiuosbeast0404	8
272	Inchef	8
272	Paintz	8
272	CollinMH06	8
272	Snowflowe	8
272	Hiryu27	8
272	RohnJosin	8
272	fkGrim	8
272	ProfessorDiaper	8
272	Ze_BaronKrigler	8
272	stavgod	8
272	sebastiensaborio	8
272	MilleGrug	8
272	smogfrog	8
286	KingFaenor	7
286	Sleek_Storm_721	7
286	Hyugo	7
286	TAKrules	7
286	CoffeeNoir	7
286	gabriels543	7
286	DarkS0L	7
286	LordAurum	7
286	_TCARREIRA_	7
295	heysushii	6
295	eotzuca	6
295	Paint	6
295	hollowww	6
295	BlancoFlaco	6
295	fr0stss	6
