rank	username	minecraft:picked_up/minecraft:netherrack
161	SmashingPump	11562
162	H0UNDFRMH3LL	11440
163	himak1	11415
164	NoChumpChange	11289
165	Xalithia	11282
166	Vorlice	11185
167	yheece	11162
168	fffMike	11154
169	zToasty69z	11085
170	Bandito_Roamer	10943
171	DarkS0L	10940
172	NieToksikpl	10764
173	AltnumberF4	10749
174	LeonelSalamanca	10381
175	JayToe	10153
176	KartivGal	10096
177	Mr_Byzantine	10082
178	Wooptey	10016
179	Samificator	9961
180	PortlyPete69	9852
181	_Yonk_	9691
182	tuckerdoodle	9674
183	4774	9603
184	Luigipunch989	9494
185	AstreaTSS	9399
186	Huwulling	9210
187	Kubeusz2010	9201
188	Ssor69	9153
189	TheEnderMan548	9152
190	kalzor	9115
191	ProfessorDiaper	9059
192	xxPipperDipperxx	9042
193	Strangemonkey71	9027
194	IdeallyGrey	9012
195	Steelynan	8869
196	anbbang	8754
197	CliffEmAll	8744
198	__tomato	8689
199	Sleek_Storm_721	8683
200	pixelviolin	8678
201	Yatitay	8677
202	h2p_emrld	8572
203	Myszoaz	8547
204	The_Fulgurator	8434
205	ganyuganyu	8292
206	The_slideV3	8289
207	vandmanden	8139
208	Ryker	8122
209	07shiny	8027
210	hanaryheatwave	7900
211	groofles	7763
212	ccwildfire1	7754
213	PaperCanvas	7743
214	MirielThePastor	7723
215	MattieHD	7696
216	monky_irl	7594
217	diggydog67	7454
218	Malorn_Aetherius	7453
219	NameGenerat0r	7442
220	MineMaster0012	7399
221	Blu3beast	7299
222	RoskobiOne	7266
223	FishyBoy3811	7265
224	Eczbox	7248
225	sp00ky_ghost977	7203
226	striker90333	7145
227	Da_Boss_Rani	7102
228	SvenskaAlvar	7062
229	Dakar_	7016
230	Warlord324	6929
231	CLG_Kata	6920
232	2blox_	6843
233	DanTheBuilderino	6841
234	AlphaWolfPlaysMC	6827
235	hm947	6733
236	remmisrat	6697
237	CoffeeNoir	6678
238	LazySupport00	6589
239	Erased_Identity	6559
240	pumpfonzo	6489
241	XboxPanda	6480
242	GravitySaint	6470
243	Zoeyfortnite	6445
244	FirsTimeGamingTV	6416
245	ooga47	6355
246	RyuNeko932000	6350
247	_Mythic____	6344
248	Cocoamallows	6341
249	Maenara	6326
250	Scathra	6324
251	Xclax101	6322
252	fade_emerge78823	6201
253	StarCookiees_	6173
254	SvenskaHugo	6169
255	LeEricc	6139
256	legal_tax_evader	6069
257	Drewen24	6054
258	AlexxO_o	6023
259	tartanboy	6019
260	ayamefag	6004
261	ActualPatbaf	5955
262	yulgur1	5887
263	Mewar	5865
264	Badenbeele	5850
265	HesDemonPants	5814
266	The_Cruncy	5780
267	Razzgriz	5765
268	CharlieButt	5761
269	_Karmaa	5696
270	Flores991	5669
271	TAKrules	5636
271	Eraza	5636
273	Tyrannosplart	5594
274	calamariclam_I	5569
275	MS_Pryxx	5547
276	SammiWolfGirl	5506
277	Leyna3	5396
278	Kekoo	5315
279	mariominejedi	5306
280	Touched_Bread	5304
281	Kamflame10	5295
282	RoBe__	5294
283	audiocracked	5288
284	Jij0	5278
285	ciemacigans	5249
286	_Bguette_	5214
287	Rumpletaezer	5170
288	WET_WET_WET	5155
289	Windo_licker	5146
290	ogoa	5103
291	pappaberg	5095
292	ConnorDanky_	5055
293	Jovaphobic	5043
294	jushykins	4966
295	TooManyDuck	4803
296	Kura2218	4750
297	Vizzoid	4726
298	Drawgirl	4709
299	Decaying_Lotus	4699
300	Hpdinosaur	4683
