rank	username	minecraft:picked_up/minecraft:red_wool
232	burbankbuilder28	4
232	k1ngGilgamesh	4
232	MasterNueve	4
232	Jij0	4
232	Quotary	4
232	aubergined	4
240	Incinere	3
240	Reamdin	3
240	ManlyAdjective	3
240	eclipseboi	3
240	BilboBaggins23	3
240	Torza	3
240	2Stout	3
240	Skomo	3
240	DScatgirls	3
240	rii1efnaki	3
240	queenalina123	3
240	_ritter	3
240	SingedBread	3
240	AssFullaCum	3
240	h2p_emrld	3
255	dudcreeper	2
255	Gundam_Steven	2
255	WarHammer3	2
255	Myszoaz	2
255	featherflyy	2
255	bloodbiter	2
255	12Magner05	2
255	ProfessorBee	2
255	Kkanot	2
255	egglapras	2
255	r123moore	2
255	Bazongoman	2
255	__Fanda__	2
255	MyNameIsJobo	2
255	RyuNeko932000	2
255	DAD_1996	2
255	OverallConcept	2
255	DarlaMeow	2
255	Quaintster	2
255	CheifJumbo	2
255	a_smol_bean	2
255	lexrl_	2
255	Wolverine4302	2
278	RosaDoesMC	1
278	Dedalus36	1
278	KomputerDude	1
278	MOSS000	1
278	H72l9w	1
278	hzs91	1
278	Historical_Sand	1
278	TheMaster972	1
278	Ssor69	1
278	Prodiginus	1
278	Kalwag	1
278	MrExplorer	1
278	SteveCraftBlocks	1
278	bbquakes	1
278	Nach0Bear	1
278	Billeison	1
278	vampgey	1
278	MangoTheFish	1
278	drompje	1
278	ItsAki_	1
278	_Bguette_	1
278	JoCoLi	1
278	DamagedSin	1
