rank	username	minecraft:picked_up/minecraft:glass
88	iSammael	1055
89	Fullut	1048
90	PortlyPete69	1003
91	yatsuta	996
92	NoChumpChange	984
93	Incinere	936
94	Mythic1130	919
95	Hisiste	918
96	JESS_THE_RERE	904
97	Xclax101	901
98	r123moore	898
99	IamCL4SSY	892
100	Rebytre	885
101	Jimb0nat0r	872
102	non089	854
103	Racengan	853
104	xxPipperDipperxx	829
105	Alteriity	816
106	_TCARREIRA_	815
107	Fuhrer_Teemo	802
108	Hermanni__	789
109	TheTrueClipse	780
109	Eczbek	780
111	Inchef	776
112	Majonezzon	771
113	SmashingPump	763
114	Chromary	753
115	301851	739
116	Zoeyfortnite	722
117	Iamthejo	717
118	Mobstr	704
119	prizm_	698
120	Merv__	682
121	sandmire	676
122	Ssor69	669
123	TheThomas69	664
124	6king6colt6	649
125	Warlord324	646
126	ThePoliteG	644
127	sp00ky_ghost977	623
128	Comma__	597
128	laron58	597
130	Marbz_	586
131	Tyrannosplart	585
131	gusstationwerker	585
133	TheDankPlatypus	578
134	robotemo	577
134	AltnumberF4	577
136	pixelviolin	575
137	picardred	573
138	I_Am_Mushkin	567
139	The_slideV3	549
140	MangoTheFish	535
141	NieToksikpl	528
142	_Virify_	524
143	h2p_emrld	521
144	timelyenigma	518
145	BartekB19	517
146	Jimi7hits	509
147	himak1	505
148	xolstoi	498
149	Xalithia	493
150	DTwenty	486
151	zToasty69z	483
152	KartivGal	470
153	ayamefag	467
154	T045RTY	466
154	ShedJr_	466
154	TheSeismicDuck	466
157	binman420	459
158	Whiterooster001	456
159	Vorlice	454
160	ogoa	448
161	Sral7	440
162	Maenara	439
163	Zythose	434
164	Fuad_R	432
165	AlexxO_o	418
166	Barlycorn	412
167	Onennon	410
168	MilleGrug	409
169	Kyrum2169	405
170	MattieHD	398
171	AuroraValkyrie	393
172	Steelynan	392
173	Lutres_Torane	382
173	alderban107	382
175	madderfall	379
176	WyngGoy	371
177	LittleBug562	369
178	titanlax	368
178	GoofySilly	368
180	bigstankyy	366
181	Covalents	365
182	sxc_	364
183	NotMeanttoChange	357
184	IAmTheWalrus910	356
185	07shiny	354
186	Dusk_95	352
187	legal_tax_evader	346
188	RobotMinion101	343
189	RealGroot	342
190	audiocracked	341
190	diggydog67	341
192	PigDab	338
193	claivin	330
194	Nicky_H225	327
195	TheEnderMan548	322
196	dnlksl	320
197	MustaLoordi	316
197	PlzNoBM	316
199	MrMattyPatt	312
199	GoofyBread	312
201	XboxPanda	311
202	tsitrawhy	310
203	Nicserso	304
204	SkateboardR6	301
204	SammiWolfGirl	301
206	BodaciousCake	297
206	BumbleBeever	297
206	TheMiddayMoon	297
209	Hoid_the_Roamer	290
209	FishyBoy3811	290
211	Ze1ig	283
211	Rumpletaezer	283
211	33sudo	283
214	ItsDeltaMC	278
215	Jackster03	271
216	RatatJuice	263
216	CollinMH06	263
218	KingMatthew506	261
219	ThiccExotic	260
220	StinkyDiplomat	256
221	Ailmast	255
221	SyntheticSurgeon	255
223	_Dean_123	254
224	ZaneABrain	248
225	Swexti	247
226	eviltunix	244
227	Da_Boss_Rani	243
228	BreadBacon	241
229	MakeHistory157	239
230	TheDiamondCG	237
230	vandmanden	237
232	EfficientC52	236
233	Mr_Byzantine	222
234	FirsTimeGamingTV	221
234	jcool7	221
236	CoffeeNoir	220
237	CadenSteele	219
237	Mewar	219
239	KarlKaek	217
239	Megarboh	217
239	emrekn	217
239	trexgb	217
243	set67	215
244	Notta	212
245	Winklepicker279	211
246	tramizu	210
246	Sheldor097	210
248	SpacesickPrism	209
249	KeruNatsema	208
250	Rasmanden	202
251	ZA07	198
252	seanitoo	197
253	DinoDoctor_	196
253	lcvezra	196
255	TooManyDuck	194
256	mariominejedi	192
256	NYJ	192
256	ceAndy200	192
256	__tomato	192
256	Wolverine4302	192
261	SaintJosie	189
262	Cryptacity	187
262	yulgur1	187
262	Factoroni	187
265	Silvo614	185
266	Prismyst	183
267	hdtpm	182
268	MinttyFressh	181
268	Wowful	181
270	Crowman1	180
271	FishisTTV	174
272	Hyugo	173
272	SaucyDark	173
274	ooga47	170
275	Kowcio_	168
276	fw3xywashere	167
277	Tobinator_007	166
277	UltraZombie	166
279	SteveCraftBlocks	165
279	Leyna3	165
279	OverallConcept	165
282	00000000-0000-0000-0009-01ff0c3e5e4f	163
283	anbbang	161
284	_stets	159
284	seramalen	159
284	LilLizardWizard	159
284	xzvu	159
288	_Razaria	156
289	starbits140	154
290	ITDV	149
291	M_Patata	148
291	luseis	148
293	ZoharGoldMine	146
294	teslawolf38	144
294	redikul	144
294	selectrix	144
297	livingdaydreams	143
298	okCrypto	141
299	jacxhadow	140
299	TeenMomTom	140
