rank	username	minecraft:picked_up/minecraft:diamond_sword
148	Spacewardharpy7	10
148	TheDumbHuman	10
160	Furiuosbeast0404	9
160	egglapras	9
160	intropass	9
160	Windo_licker	9
160	DemTechAlpha	9
160	SexcMf	9
160	little_dUki	9
167	seanitoo	8
167	heysushii	8
167	strongman951753	8
167	JEWISHBadenBeele	8
167	joethahobo	8
167	Awyrlas	8
167	Xalithia	8
167	NotKaden_	8
167	wTXop	8
167	pappaberg	8
167	Bumpy419	8
167	ApophisNova	8
167	Rasmanden	8
167	Sky_light_KING	8
167	wezzzi	8
167	Lord_Zacler	8
167	EveryonesUncle	8
167	EfficientC52	8
167	ATurtle4936	8
167	MustaLoordi	8
167	Hisiste	8
167	Cocoamallows	8
167	rejenita	8
167	SSytex_X	8
167	Skippeh	8
167	MyNamaSheff	8
167	Nicserso	8
167	Enderslayerxz3	8
167	Kateesaur	8
196	Froste131	7
196	TooManyDuck	7
196	MOSS000	7
196	tsohomie	7
196	FirsTimeGamingTV	7
196	GingerNeutron	7
196	Norrhede	7
196	tobinwilliams	7
196	RobotMinion101	7
196	HyperCave	7
196	TJawesome09	7
196	NomadicRobin_	7
196	Gryglu583	7
196	lillips	7
196	Meatlaugh	7
196	DolphinLaugh	7
196	Toriankel	7
196	CSG_Haru	7
196	Zetsey	7
196	UltraZombie	7
196	Zoeyfortnite	7
196	Yogscast_Manden	7
218	SaucyDark	6
218	_Razar	6
218	Incinere	6
218	Natofthese	6
218	Batman922	6
218	Mahoose	6
218	Swexti	6
218	titanlax	6
218	Cryptacity	6
218	bmac2718	6
218	UncreativeArtist	6
218	Flapjacker687	6
218	eviltunix	6
218	Kakolbus	6
218	Voxin2K	6
218	KartivGal	6
218	TTNG	6
218	YahooScreen9000	6
218	sxc_	6
218	Quincannon	6
218	__Auspicious	6
218	33sudo	6
218	Kowcio_	6
218	Kijiki	6
218	Juh1s	6
218	_TCARREIRA_	6
218	SlimeBOI03	6
218	VentiHilton	6
218	BreadBacon	6
218	Powowowow	6
218	561cool	6
249	nataliecool	5
249	Cowison	5
249	pZygh0st	5
249	diamondgolem35	5
249	error10101	5
249	KomputerDude	5
249	Simon_Lowell	5
249	Ssor69	5
249	m_be9	5
249	G1ldor	5
249	Raxmalor	5
249	Kamflame10	5
249	Motsaro	5
249	LotusProject	5
249	emrekn	5
249	TheDankPlatypus	5
249	Ecplosive	5
249	mariominejedi	5
249	loveseeker	5
249	Zythose	5
249	Donutt	5
249	selectrix	5
249	cedric72	5
249	Ender_Souls	5
249	stuy9	5
249	gustarbite	5
249	Inbefour	5
249	fkGrim	5
249	YungWali	5
249	Karbl	5
249	ebanana	5
249	DarkLawD	5
249	sp00ky_ghost977	5
249	Shin69	5
249	sebastiensaborio	5
249	MilleGrug	5
249	alderban107	5
249	Kubeusz2010	5
249	mobunni	5
249	OfficerAnvil	5
249	Miko_Fullbuster	5
249	YoshikageBites	5
249	FishisTTV	5
292	TheBiggestFeller	4
292	Tobinator_007	4
292	Elprone266	4
292	JohnnyFyes	4
292	ItsColin11	4
292	ssleepless	4
292	NotP0tato	4
292	BlancoFlaco	4
292	hm947	4
