rank	username	minecraft:picked_up/minecraft:coal
144	_TCARREIRA_	5157
145	Vizzoid	5135
146	TheSecondLord	5122
147	FelixPSY375	5115
148	PegLegPete93	5090
149	TheSeismicDuck	5088
150	Decaying_Lotus	5075
151	soundad	5040
152	lotarp	5029
153	Lukeee33	4920
154	SingedBread	4848
155	TheDankPlatypus	4808
156	audiocracked	4755
157	Hiryu27	4723
158	slkiey	4667
159	mariominejedi	4661
160	Factoroni	4585
161	Racengan	4521
162	Shogunite	4510
163	anbbang	4489
164	Skippeh	4432
165	Tolhart	4427
166	GoofyBread	4421
167	MustaLoordi	4350
168	XboxPanda	4333
169	Fuhrer_Teemo	4274
170	TooManyDuck	4244
171	DanTheBuilderino	4225
172	jacxhadow	4208
173	ShedJr_	4125
174	ooga47	4097
175	301851	4082
176	Myszoaz	4067
176	SvenskaHugo	4067
178	SUN_DREAM	4055
179	KeruNatsema	4052
180	xxPipperDipperxx	4050
181	Zedducius	4026
182	Soplight	4010
183	Barlycorn	3986
184	_8man	3967
185	Nicserso	3935
186	_Karmaa	3902
187	tobinwilliams	3892
188	KarlKaek	3881
189	starbits140	3874
190	Quincannon	3866
191	ImDisconnected_	3844
192	LotusProject	3833
193	Dreamdbr14	3798
194	teslawolf38	3742
195	AlphaWolfPlaysMC	3732
196	jewbacaman	3704
197	Reamdin	3670
198	Xalithia	3664
199	valkam13	3647
200	6king6colt6	3618
201	chipklip	3595
202	bloomkieren	3577
203	CharlieButt	3558
204	FishyBoy3811	3557
205	radioactv_jelly	3554
206	__tomato	3520
207	toj__	3472
208	stahouo	3458
209	Soul_Atreus	3417
210	CollinMH06	3403
211	Marbz_	3401
212	UrbanPlanner1978	3342
213	djancak	3279
214	AvaRosey	3268
215	crying_wolf_13	3235
216	Sky_light_KING	3229
217	Spenduh	3220
218	MilleGrug	3184
219	2Stout	3175
220	JESS_THE_RERE	3173
221	Historical_Sand	3167
222	wobn	3162
223	Blu3beast	3140
224	TheOnlyRake	3127
225	Winklepicker279	3123
226	Luigipunch989	3108
227	Vorlice	3091
228	Warlord324	3079
229	surfinggiraffejp	3067
230	intropass	3058
231	Meatlaugh	3025
232	DaviusMaximoose	3013
233	07shiny	3012
234	EcksDofficial	3006
235	lcvezra	2998
236	Giannism	2986
237	balin55	2982
238	DarlaMeow	2980
239	picardred	2972
240	Paint	2968
241	Houstonion	2953
242	Strangemonkey71	2949
243	Powowowow	2943
244	Deodorante	2905
245	RefluxRatio	2890
246	BreadBacon	2845
247	BlankityMcBlank	2843
248	NinjaKnifeKill	2842
248	alderban107	2842
250	Valoth	2798
251	PlzNoBM	2773
252	underscore_2	2767
252	stellarjay	2767
254	RadarHz	2760
255	_naturell	2744
256	Euclidoris	2737
257	Ssor69	2736
258	Rich_Kat	2724
259	BodaciousCake	2718
260	Rocco_Lane	2688
261	selectrix	2683
262	Iagoku	2673
263	Gary_	2638
263	Wooptey	2638
265	Hisiste	2634
266	ExtraDumb	2615
267	smogfrog	2602
268	_czarny	2571
269	Notta	2557
270	King_Pancake1	2545
271	Maenara	2538
272	ElectricDragon81	2534
273	SlayerCrypto	2510
274	burbankbuilder28	2475
275	GravitySaint	2471
276	Xovalt_	2459
277	SpaceGrenadier	2456
278	Harotio	2446
279	FreddyFart	2441
280	Froste131	2439
281	Z3braYTIL	2435
282	Ardennes	2426
283	sufjanlover	2417
284	Chromary	2398
285	hcb238	2386
286	Deathkob	2378
287	theonlymagikarp	2374
288	platinumzero	2373
289	lizardfightclub	2359
290	Kouridragon	2337
291	TheTrueClipse	2323
292	ImpavidArcher	2317
293	Syropatathe	2314
294	MunkaKris	2300
295	Drlzyy	2288
296	fluddd	2283
297	trexgb	2281
298	CoryJJ	2280
299	Jackster03	2272
299	fkGrim	2272
