rank	username	minecraft:killed/minecraft:wolf
139	ILoveCarrot	1
139	Lord_Jord	1
139	Vellebelle2	1
139	AlphaWolfPlaysMC	1
139	Wowful	1
139	Joestra	1
139	masskedman	1
139	Inbefour	1
139	Katsuragi0243218	1
139	Gryglu583	1
139	apn999	1
139	SpouHn	1
139	kiluaemc	1
139	Meepcraft	1
139	Quinasin	1
139	_Bguette_	1
139	KlausVonStiglitz	1
139	The_Quack_Dealer	1
139	GoofyBread	1
139	1442	1
139	The_slideV3	1
139	bluefragmentt	1
139	Aftrbrnr	1
139	halfbakedlasagna	1
139	__Auspicious	1
139	DarkLawD	1
139	Warlord324	1
139	SkateboardR6	1
139	Spacewardharpy7	1
139	ElKaySVK	1
139	lordpipe	1
139	MakeHistory157	1
139	SaturnnnX	1
139	Omar_Alone	1
139	PabloGonza02	1
139	carbo_bro	1
139	TheEnderman548	1
139	starbits140	1
139	Fizznut909	1
139	stellarjay	1
139	Nekomin0	1
139	_TCARREIRA_	1
139	_Yonk_	1
139	ProbsNotNova	1
139	Moetis	1
139	mawileite	1
139	ChazzaHodge13	1
139	Eczbek	1
139	Rainaldus	1
139	alderban107	1
139	blimpeey	1
139	Skippeh	1
139	amkold	1
139	Aryamanee	1
139	Ezekson	1
139	RadarHz	1
139	BreadBacon	1
139	Nicserso	1
139	AstroLightz_	1
139	Enderslayerxz3	1
139	imaginek1d	1
139	YoshikageBites	1
139	Teebone15	1
139	KASAN420	1
139	_Dri_	1
139	Wanjibon	1
