rank	username	minecraft:killed/minecraft:pillager
143	SammiWolfGirl	23
146	ITDV	22
146	redikul	22
146	eviltunix	22
146	Warlord324	22
146	__tomato	22
151	bigstankyy	21
151	SuperPooch06	21
151	Rebytre	21
151	bladeefan2009	21
155	jewbacaman	20
155	IamCL4SSY	20
155	handsome_strong	20
155	MyNameIsDakar	20
155	gusstationwerker	20
160	Tolhart	19
160	himak1	19
160	Winklepicker279	19
160	Giannism	19
160	ApophisNova	19
160	Xclax101	19
160	MyNamaSheff	19
167	JitteryJared2	18
167	Groundler	18
167	TheEnderMan548	18
170	livingdaydreams	17
170	Mewar	17
170	intropass	17
170	El_Jalapeno	17
170	stavgod	17
170	ayamefag	17
170	jcool7	17
177	Groovy_MoonBird	16
177	KomputerDude	16
177	Rorrofighter	16
177	Comma__	16
177	Timfinity4	16
177	Moofyman	16
177	cytotoxaint	16
177	IdeallyGrey	16
185	ImpavidArcher	15
185	MrKrabOnCoke	15
185	slkiey	15
185	crying_wolf_13	15
185	Motsaro	15
185	TableTim	15
185	xDraggin	15
185	KingMatthew506	15
193	dudcreeper	14
193	Jahara	14
193	legal_tax_evader	14
193	_Boipl_	14
193	wezzzi	14
198	Wooptey	13
198	ratglock	13
198	impossibleteapot	13
198	RobotMinion101	13
198	lillips	13
198	djancak	13
204	Stiar	12
204	Fast_Turtle	12
204	thgrocks	12
204	luseis	12
204	MAns_44	12
204	monky_irl	12
204	Cocoamallows	12
204	PortlyPete69	12
212	Myszoaz	11
212	boog4loo	11
212	Chromary	11
212	LilyNova	11
212	bloomkieren	11
212	lcvezra	11
212	HuangMeiHua	11
212	00000000-0000-0000-0009-01ff0c3e5e4f	11
220	_Razaria	10
220	ProfessorBee	10
220	Smussa	10
220	MakeHistory157	10
220	LordSpeed37	10
220	nonarso	10
220	Haadrada	10
220	2bolx_	10
228	lolofied	9
228	shineh10	9
228	diamondgolem35	9
228	Reamdin	9
228	dopplexd	9
228	roxycherry	9
228	theonlymagikarp	9
228	Kubelz	9
228	mimbo1211	9
228	QueenCamilla	9
228	wobn	9
239	Jovaphobic	8
239	DinoDoctor_	8
239	ThiccExotic	8
239	H72l9w	8
239	Malorn_Aetherius	8
239	Touched_Bread	8
239	Bolete	8
239	Kakolbus	8
239	Queen_Jalapeno	8
239	RefluxRatio	8
239	TheWildMateo	8
239	AlphaWolfPlaysMC	8
239	Deodorante	8
239	DarkS0L	8
239	FreakGenius	8
239	Mistruth	8
239	Soul_Atreus	8
239	Dogcorn69420	8
239	striker90333	8
239	Zoeyfortnite	8
259	ItsColin11	7
259	Ssor69	7
259	hcb238	7
259	gabriels543	7
259	Skylord_Luke	7
259	Corbsman	7
259	Mattesco	7
259	ZA07	7
259	Jiminbub	7
259	YungWali	7
259	c0la_c0ca	7
259	PlasticOtari	7
259	xolstoi	7
259	Yahrto	7
273	AgressiveEggdog	6
273	Esme_1	6
273	QuiCreans	6
273	Auseawesome	6
273	jacxhadow	6
273	zorin123	6
273	Smashic	6
273	Scathra	6
273	CaptainSteve345	6
273	WET_WET_WET	6
273	epiksk8erduck	6
273	_Cloverbelle_	6
273	binman420	6
273	NomadicRobin_	6
273	EveryonesUncle	6
273	Deathkob	6
273	balin55	6
273	GoofyBread	6
273	NameGenerat0r	6
273	Bloo2406	6
273	Optiprimus	6
273	EtherealEspresso	6
273	SSytex_X	6
273	_AAZAR	6
273	AltnumberF4	6
273	MandenR1	6
299	SyK7	5
299	dabloons	5
