rank	username	minecraft:custom/minecraft:inspect_hopper
166	lcvezra	346
168	_TCARREIRA_	334
169	MakeHistory157	333
170	Jordan_R	322
171	AlexxO_o	320
172	xxPipperDipperxx	312
172	MustaLoordi	312
174	Incinere	311
175	q_wq	310
176	Crowman1	304
176	diggydog67	304
178	BronkerBrum	299
179	StinkyDiplomat	298
180	The_slideV3	292
181	bloodbiter	283
181	skrongus	283
183	calamariclam_I	282
184	KartivGal	281
185	youhjjhhhjj	278
186	NomadicRobin_	274
187	DanTheBuilderino	271
188	Dogcorn69420	267
189	Mewar	259
190	TheBananaKat	256
191	ECstardust	255
192	Rich_Kat	252
193	NameGenerat0r	251
194	F_Uhre	246
194	Sheldor097	246
196	500am	245
197	tuckerdoodle	241
197	Inchef	241
197	eiC_	241
200	SpaceGrenadier	238
201	Hermanni__	237
202	Zedducius	233
202	CalebDHawk	233
204	Scathra	231
204	Eczbox	231
206	bigstankyy	230
207	soundad	229
207	Comma__	229
207	Megarboh	229
207	__tomato	229
211	IamCL4SSY	227
212	slkiey	220
213	Blu3beast	219
214	Ssor69	218
214	SkateboardR6	218
214	SvenskaHugo	218
217	Zoeyfortnite	216
218	CharlieButt	214
219	Factoroni	210
219	ZeroKraken	210
221	Euclidoris	207
222	Prodiginus	206
223	TheTrueClipse	205
223	IdeallyGrey	205
223	xzvu	205
226	anbbang	200
227	Tyrannosplart	199
228	Deerfoot	195
229	heckface	194
229	ooga47	194
231	Hpdinosaur	193
231	4774	193
233	fw3xy74	192
234	Ryker	188
234	Fildyr	188
236	Touched_Bread	186
237	Swexti	185
238	mariominejedi	182
239	HolyVenom	181
240	TheDankPlatypus	177
241	Cowison	176
241	Krowuss	176
243	rarrq	174
244	ShedJr_	173
244	Kyrum2169	173
246	FishyBoy3811	172
246	Winston_Ingram	172
248	Kamflame10	171
248	07shiny	171
250	KGTV	169
251	Malorn_Aetherius	166
251	Kijiki	166
253	ActualPatbaf	164
254	stavgod	163
255	Noah_Bez	155
256	kalzor	153
256	_i_ERROR_i_	153
258	2blox_	150
259	ROY4LE	149
260	PlzNoBM	148
261	picardred	147
262	Corbsman	146
263	BreadBacon	145
264	teslawolf38	144
265	DemTechAlpha	143
266	excelsionprime	139
267	dudcreeper	138
267	set67	138
267	Drawgirl	138
270	Hyugo	137
270	TheSeismicDuck	137
272	Bandito_Roamer	136
272	Iagoku	136
274	diamondgolem35	135
275	dimondking777	134
276	Lepthymo	129
276	SyntheticSurgeon	129
278	cog	127
279	ImDisconnected_	125
280	Jij0	124
281	DTwenty	123
282	seanitoo	121
283	Xalithia	120
284	Dreamdbr14	119
285	Voxin2K	118
286	Nicky_H225	117
287	JayToe	116
288	BartekB19	115
289	DarlaMeow	114
290	EveryonesUncle	113
291	impossibleteapot	112
292	PazinGaming	110
292	CollinMH06	110
294	ougstur	109
294	Deodorante	109
294	ediballbearings	109
297	FelixPSY375	108
298	LeauVox4921	107
298	Luigipunch989	107
300	ItsAki_	106
