rank	username	minecraft:custom/minecraft:interact_with_beacon
268	Sheldor097	19
268	ZeroKraken	19
268	Kubeusz2010	19
279	Hpdinosaur	18
279	BodaciousCake	18
279	Rich_Kat	18
279	excelsionprime	18
279	RIPB0ZO	18
279	Cyntrical	18
279	TheDumbHuman	18
286	Froste131	17
286	powercas_gamer	17
286	SpaceGrenadier	17
286	jushykins	17
286	Nicky_H225	17
286	500am	17
286	KingEgg1	17
286	GooseWithin	17
286	Yahir091	17
286	_Meow_Mix	17
286	laron58	17
297	MuffinManzz	16
297	Sloths_Ender	16
297	PegLegPete93	16
297	Covalents	16
