rank	username	minecraft:custom/minecraft:inspect_dropper
257	JohnnyFyes	15
257	RebelAndroid	15
257	peach0s	15
257	Candad_	15
257	Rasmanden	15
257	EveryonesUncle	15
257	TheTommyGun63	15
257	_TCARREIRA_	15
257	2blox	15
266	_NieToksikpl_	14
266	6king6colt6	14
266	the_russell1611	14
266	Quaintster	14
266	layabout100	14
271	Drlzyy	13
271	ZaneABrain	13
271	fr_ser	13
271	SourPapaSmurf	13
271	Voxin2K	13
271	Travka100	13
271	TheOuterCore	13
278	CueMix	12
278	ColeSnyder	12
278	NotP0tato	12
278	Prodiginus	12
278	Ardennes	12
278	whoaluv	12
278	chipklip	12
278	SexcMf	12
278	ayamefag	12
287	Sleek_Storm_721	11
287	I_Am_Mushkin	11
287	error10101	11
287	Cryptacity	11
287	Sqwishy	11
287	_naturell	11
287	ADEXTV	11
287	KnightmareD	11
287	fffMike	11
296	MunkaKris	10
296	Iagoku	10
296	fr0stss	10
296	SeverianTheLame	10
296	Misty_Breeze	10
