rank	username	minecraft:custom/minecraft:damage_dealt
290	NotMyLucKMC	259334
291	AlphaWolfPlaysMC	259062
292	Kyrum2169	256007
293	EngagedGrub41	254639
294	Creativebuilder2	254076
295	Sheldor097	253100
296	Soap_Bender	253037
297	NATE_the_HALO	252687
298	_Huge_Male_	252663
299	TheWickedBird	252015
300	Luigipunch989	251415
